あか中2年山内彩花です！ フォローよろしくお願いします
女てにお疲れ様です笑 最高に寒かったね😂
@ayapeco0222 準優勝！！ふぁいと👍👍  いろいろと、ありがとね💗
@N12O7  警察に注意されるくらい騒ぐしかないね笑 トイレで騒ごうぜw w w w w w
ぎっくり肩みたいなのになった痛い（笑）体育明日あったら見学レベルだわ～⤵⤵
今日は、休みの人が多かった～（笑）
@nobonobo1818  のぼるが大人の階段のぼる爆笑 お誕生日おめでとー！！！
妹の反抗期（笑） 黙って従えよまじ
@Takumivb12  全然！こんなにやさしい姉なのになんでかしら（笑）
@0221yuuuusei  マジ生意気～！ちょうどむかつく時だよね～
@m28227056  まじで、最近ひどいやつ（笑） イライラする！！
@PB0hoTDBc845RIK  アゴいじりとかおい（笑） アカウントのっとられてる？爆笑
@PB0hoTDBc845RIK  みほじたいが乗っ取られてる爆笑
@Takumivb12  どんなあごだよ爆笑
@Takumivb12  は、藤倉先生へのお前のぶりっこほうが授業妨害してるだろ✋うーんとねっんふふのやつ（笑）
@m28227056  え、そうなの爆笑 さすがにきもいなそれは（笑）
@PB0hoTDBc845RIK  よく乗っ取られてるよね爆笑 なかよしこよしやん💗
@PB0hoTDBc845RIK  だとしたら、最悪すぎる（笑） 可愛い人にのっとられたい！
@yuisara78  毎回ぶりっこしてたよね！ この間ね、パシフィコ横浜でね藤倉先生にあって話しかけられて幸せだった💕
@PB0hoTDBc845RIK  え、わたしじゃないのそれ（笑） 待ってやばい
@Takumivb12  忘れませんだ！死ぬまで言い続けてあげるよ爆笑
@yuisara78  教師感出てない！もはや友達になりたい💭
@Takumivb12  そうだったんだ～(棒読み このバトルlLINEでやろうぜ
@Soccer021124  それ、てんたがやったの？？
@Soccer021124  待ってEXILEとか好きなの？（笑）
@Soccer021124  男子で好きな人めずらすぃよね！ 仲間！！！！！（笑）
@Soccer021124  好きすぎる！12月のAW行く！（笑）
@Soccer021124  そんなのしてる場合じゃないよ！（笑）
さっき注射終ったけど痛すぎた😂
@Soccer021124  だよね～わたし暇人だから毎日LIVEでも大丈夫（笑）
明日から妹修学旅行でいない 悲しいなー(棒読み
@yuisara78  そうだよ！来年中学生とか笑えるよね
@yuisara78  それめっちゃわかる！たいがくんももう五年生だよ爆笑
@nrmidk  まりん入院してんの！？
@nrmidk  え、受験生！（笑） つらくね
100円しか持ってないのに、ヨーグリーナレジにとうしたら101円であせった（笑）
@nrmidk  おだいじに（笑）受験終わったら今度こそ遊ぼう！！
@PB0hoTDBc845RIK  ちょっと待っててくださいって言って親に一円もらいにいった（笑）
@PB0hoTDBc845RIK  まじで、値段税抜きで表示すんのやめて欲しい（笑）
@PB0hoTDBc845RIK  健太郎くんいわくあるらしいから行く（笑）
一寸法師いた！（笑） この感動～
@N12O7  てんきゅう！大樹くんwithメンディーな（笑）
@N12O7 え（笑）神コンビきた！ 山内は基本映画は誘われないと行かない系女子＝誰とも行かない＝誘われてない＝悲しみ（笑）
@noooonpori  身長いい線ついてる（笑） 最優秀賞ね！明日から追い込みね！
RT @minnysoraka: @ayapeco0222   🎃ハロウィンスペシャル👻  🎃名前☞あやかせんぱい💕 🍬呼ばれ方☞ゆーかちゃん？ 👻トプ画みて☞誰ですか？笑 🍭あげたいお菓子☞チョコ 💗ひとこと☞文化祭、頑張りましょう！！いつも絡んでくれて嬉しいです💞   #フ…
@minnysoraka  ありがと～う⤴⤴ 文化祭頑張ろ（笑）はちゃめちゃにね（笑）
@N12O7  RTすんなくそ（笑） 今、浮上タイム過ぎてらんらん
@flap_maki  くらのっちさんきゅ！ 筋肉弾道弾好きすぎてほんと楽し～くなってきた！（笑）遊ぼ～！！！
@hockey0409  隣人のおばあちゃんとか家族じゃないじゃん！そこは優しいお姉ちゃんでしょ
@hockey0409  いつも、遠慮するよね（笑）そんな必要ないのに！！
@flap_maki  珍フォロワ～爆笑 だいたんにリア充なモデルとか（笑） なんか、二ヶ月くらい浮上してなかったらくそリムられた⤵
@hockey0409  もっと、他のことに遠慮したほうがいいと思う（笑）
@flap_maki  タグやってもお迎え行くのがめんどくさいっていうのが、本音w w w w w  自撮りを載せてるのを勝手に保存してるだけだよ！！！！！仲良しの子がこの間ドーベルのバクステ当てた笑
@hockey0409  は（笑）　遠慮星人って呼べってことかな
@flap_maki  自撮りをSNSにのせるってことは、保存どーぞだべ（笑）バクステは羨ましすぎた！あと、大樹くんのfamさんねw w w w フリスビー狙い投げとかずるすぎ認知（笑）
@flap_maki  狙い投げされて帰ってくる（笑）バクステも当てるわ（笑）レポ待ってて！そして、テープをたくさん持って帰ってきてあげるね♡♡♡♡
@nobonobo1818  てんきゅー！やまうちさんそろそろやめよ爆笑
@nobonobo1818  え、普通に山内でよくね（笑） なんか抵抗ある？
明日から2日間頑張ろう笑 青春しようw w w w
いつか文化祭のときにリア充になりたい（笑）  今回なしだとして、とりあえず高校であと3回しかチャンスないわ（笑）
@nobonobo1818  面白かったよ！本番も楽しみにしてる～！
@nobonobo1818  期待してる（笑）Fight！
@yuisara78  それな！（笑）くいの数w w   w w
@yuisara78  それな（笑）だからぼろぼろなんだよなw w w w w w w w
@yuisara78  なんか、二階いたら、親がなんか叫びだしたw w w w w 説明会行くしか（笑）
@yuisara78  それなそれな（笑） 取材来い来い来い！！！！！！！
@yuisara78  わたしがDancingしてるときに来て欲しい（笑） 普通に！！
@yuisara78  それは照れる（笑）恥ずかしすぎるw w w w
文化祭1日目 とりま、無事に終って良かった（笑）  明日は、大いに盛り上がろうw w w
あかちゅう覗きに行くわ（笑） さすがに誰もいないかなw w
@minnysoraka  まじ（笑）車でサーって通ったら黒いスーツの人がたくさんいたw w  w
@Takumivb12  おい名前伏せろ（笑）
@Takumivb12  くそすぎ（笑）ばかって認めたくせに
@Takumivb12  なわけ（笑）こうなったらギネスのりたい！
@teramikodama2  ツイートしなくていいなw w w w
文化祭お疲れ様でした！ 無事に終わって何より◎みんな盛り上がってくれてありがとう！！  受験頑張らなきゃ（笑）
ツッタカターでつぶやく（笑） ハロウィンぼっちなうw w w w w
@N12O7   byいっしーな（笑） あれ？オタクじじいだっけ
RT @G_0719_gmw: ﾂｯﾀｶﾀｰ流行ってくるといいね
@N12O7  ツッタカター最強だよな（笑） 今日おはなししたの？どうしたw w w
中山との会話が謎すぎる（笑） 日本語話してないw
@chii4029  ありがとう😘
まじで文化祭のしおりなくなった（笑） 誰だよ盗んだやつ！！
@nobonobo1818  あえて坊主とかの選択肢に入れたい（笑）
塾で携帯いじるワザ獲得した（笑）
@reo_gnrtos  それは企業秘密～♡
@reo_gnrtos  普通にトイレで携帯見るだけなwwww
@flap_maki  まきなまきなまきな！小学校へのお手紙って今日中だっけ？？
@miyusato11  だしてない（笑）もってくwww
@miyusato11  いーずーえ（笑）今、ダッシュで行ってきたわ疲れた～
@miyusato11  まじでこれは詐欺にもなってないきもさ（笑）消そうよ（笑）
@miyusato11  ちなねぇ（笑）
@yuisara78 @N12O7  おい（笑）お前らだれやねんwwww
@miyusato11  それは思ったよwwww 消しとく（笑）
@N12O7 @yuisara78  こわい（笑）集団いじめだろこれwwww
@N12O7 @yuisara78  意味わかんない（笑）逆にわたしすごくねwww
明日は、ポッキーの日と見せかけて未遊の誕生日😘
@miyusato11  テスト前だから買いに行けなかったんですよね（笑）心をこめて踊りますwwww
裏切りってこういうことか（笑）
スケート見だしたら止まらない（笑） 助けてだれか（笑）
@149____  まみおめでと～！！
誰か技術を教えてくださいませ（笑） 1年の内容とか死んだ
@urashia365  笑わせんなよ（笑）不可能！！
@urashia365  ガラスのハートかよ（笑）
@mk_2000121  わからなくて、携帯に逃げるwww
@urashia365  じゃあ、ビバホームで接着剤買ってくるね😋
@mk_2000121  さすが先輩！一度は決断したものの誘惑に負けるというあるあるをおこなってらっしゃる！
@mk_2000121  え！前日で負けたか～ 滝修行行かなきゃだねw w w w
@urashia365  じゃあ、そのまま放置で（笑）
@0521_kanon 花音氏！（笑） 石ぼりと粘土の違いって何www
@0521_kanon  まず、比較できないよねその2つ（笑） なんかでこぼこした彫り（笑）
@0521_kanon  なるほど（笑）そっちねwww わかる？？？？？？
@0521_kanon  さんきゅww 参考にさせていただきまする！
@0521_kanon  いやいや（笑）テニス部も知識不足だからwwww  #は
二日目からやる気なくす～ 帰ってきてから3時間強無駄な時間過ごしてるわ～
@N12O7   今、二階で遊んできた（笑）
点数悪くても、頑張ったからいいよね笑
@yuisara78  イルミは彼氏と行くので、間に合ってます😋
@yuisara78  いちいち言わせんなよ！彼氏いませんwwww
みんなに便乗 笑 適当にやるはず！  🎅クリスマスVer🎄  🎅お名前☞ ⛄️呼び方☞ 💝呼ばれ方☞ 🎁あげたい物☞ 🎄イルミいける？☞ 🎿メッセージ☞ #ファボした人にやる
@yuisara78  現実になりうるからやめろ笑
@2403yuna   🎅クリスマスVer🎄  🎅お名前☞小林 佑奈 ⛄️呼び方☞ゆうな~ 💝呼ばれ方☞山内とかあやか 🎁あげたい物☞チェックのマフラー 🎄イルミいける？☞いける！ 🎿メッセージ☞テストお疲れ😘紺のセーター笑 #ファボした人にやる
@rui04112  🎅クリスマスVer🎄  🎅お名前☞重村るい ⛄️呼び方☞重村 💝呼ばれ方☞山内 🎁あげたい物☞うまい棒100本 🎄イルミいける？☞みんなでなら！ 🎿メッセージ☞ハンドボールとてつもなくうまいね笑 #ファボした人にやる
@miyusato11  🎅クリスマスVer🎄  🎅お名前☞佐藤 未遊 ⛄️呼び方☞みゆ 💝呼ばれ方☞あやぽん 🎁あげたい物☞わたしの写真😘 🎄イルミいける？☞いける~ 🎿メッセージ☞今度また遊ぼう！テストお疲れ~ #ファボした人にやる
@yuisara78 ひまだからDMでやる〜👻  🎅クリスマスVer🎄  🎅お名前☞沖見 優衣 ⛄️呼び方☞優衣様 💝呼ばれ方☞山内とかあやか 🎁あげたい物☞1000万円のガラスの靴👠 🎄イルミいける？☞いけるれ！ 🎿メッセージ☞とりあえず近々遊ぼ！！ #ファボした人にやる
@nrmidk  みんなに便乗 笑 適当にやるはず！  🎅クリスマスVer🎄  🎅お名前☞門井 まりん ⛄️呼び方☞ゴーゴーまりん 💝呼ばれ方☞あや~ 🎁あげたい物☞愛情のこもったお手紙💌 🎄イルミいける？☞いける！ 🎿メッセージ☞足は大丈夫かい？会いたい💞 #ファボした人にやる
@maki120711   🎅クリスマスVer🎄  🎅お名前☞いしご まき ⛄️呼び方☞まき！？ 💝呼ばれ方☞山内~ 🎁あげたい物☞ショートケーキ🎂 🎄イルミいける？☞いける！ 🎿メッセージ☞テストお疲れさまさま！これからも、よろしく☺👐 #ファボした人にやる
@2403yuna 紺のセーターの人大好き説（笑）
@maki120711 それな（笑）なんて呼んでたっけ！
安心してくださいはいてますよ。。。  大賞じゃなかったわ〜😂😭😤⤵⤵
あ～今年のクリスマスプレゼントは運動神経かな😋💞
@m28227056  わたしがたくさん学校で使ったのにはやらなかった（笑）わたしの努力不足⤵⤵
@flap_maki  それな（笑）トリプルスリーは聞いたことないわ👐
寒すぎる⤵⤵ だれか私に暖かいものをください（笑）
@yuisara78  ありがとう優衣ちゃん♡ 心配しないで👐👐
@yuisara78  ん〜じゃあわがまま言っちゃおうかな😘 優衣ちゃんと愛をちょうだい！！
@Reikappi2424  もうね、とてもお風呂にはいってあったまったから大丈夫😘
@Reikappi2424  ありがとう💭お互い気をつけよう🔆🔆
@yuisara78  よこせ（笑）もぎとりにいく！
@miyusato11 @yuisara78  じゃあ、みゆがかわりにわたしに愛をちょうだいლ( ლ).｡
@PB0hoTDBc845RIK  ちょうだいください（笑）♡♡♡♡
@miyusato11  金庫とかくそかよ（笑） わたしには、パスワードが見える（笑）
@PB0hoTDBc845RIK  それは遠慮（笑）こわいわ
@miyusato11 @yuisara78  ほんと頭おかしい（笑）もはや、私のあごすごすぎwwww
@Reikappi2424  えええ？（笑）変換ミスってる時点でおばかさんかな👄👄👄
RT @simxsh: 糖分 当分控えよー🐼。_。
RT @fumi____0521: 苦しマスソング (受験)  できれば模試受けたくなくて 現実から"目"背けたくて スマホでずっとTL更新していたい （シュッ…ポッ） でもこんな事し続けてたら格好悪いし 長くなるだけ(勉強期間)だから伝えるよ 「合格したい」
@nobonobo1818  さんくゆー！
@JSB24eg  ありがとーう！明日楽しんで来る⤴⤴レポ待ってて！（笑）
@maki120711  ありがとーう😘今集合何時wwww
今、一生懸命勉強してるけど あと余命1年だったら 無駄だよねって思った（笑）
クリぼっち回避したいけど、勉強しなきゃだし  勉強しなきゃだけど、クリぼっち回避したい  受験生たいへんだわわわ
あ～暇（笑）
勝った〜わ〜い（笑）
雨降ってきたから勉強する気失せた気がする（笑）
merrychristmas🎄🎅
今日はまだクリスマスイブだぞ笑 みんなこれからだよ頑張ろ😋😋😋😋 #だれ
アメトーク最高かよ（笑）
宇野くんきたこれ🎅🎄 ひゃっは〜きゃわたん
@yuisara78 @N12O7 @momo_perocat またやろー（笑）今度はどっか外でね！
@0116Suba  私がおごる必要性（笑） 気が向いたらね〜
とにかく明るい安村〜来た〜（笑）
@Suzuka_Ishii  ありがとうございます！ 受験頑張っちゃいます（笑）
@N12O7  明日コラボしよ（笑）
勉強のやる気でない〜 めんどくさい（笑）
@N12O7  あ！癒やし送って！（笑）
受験終わった〜🙉🔆  遊んでくれる人募集〜
@miyusato11  はやくあそぼ〜！！！！
@N12O7  まじあそぼ（笑）くだらない語りしたい（笑）
@reo_gnrtos  渋谷行こ〜（笑）
@m28227056  家近いからいつでも遊べるよね（笑）あそぼ〜
@Reikappi2424  だいすきだなんて♡ ありがとう！
@yVvaUzY79fbluue  thank you！！ 部活頑張ろうね！！ 目指せ全勝wwww
RT @minnysoraka: @ayapeco0222  はぴばです😊 またお喋りしましょうね(*ˊ˘ˋ*)♪ いい１年になりますよぉに✨ https://t.co/4LVbwlOkpT
@minnysoraka  ありがと〜！ またお話してね🔆🔆🔆
@Reikappi2424  うれしい♡♡ おばさんどうもありがとう！ #だまれ
@asami_73114  ありがと〜！！ 5日たのしみみみみ！！
@wimper__mk  話題だからRTのびてる👍
@PB0hoTDBc845RIK  恐竜食べるよ！ありがとーう！！
@wimper__mk  楽しかったね〜！ありがとう！ がんばろうがんばろう！
@PB0hoTDBc845RIK  よかったで！
@asami_73114  勝てないよね絶対（笑）つらい〜
@yVvaUzY79fbluue  でも、負けちゃうよねおそらく（笑）
@STRM_0410AB  覚えててくれてありがとう🌚🌚🌚 今度ぜひ遊んで！！
RT @pVLeLX4t7hzyNpY: オリラジ 【PERFECT HUMAN】 https://t.co/Nh786aD97d
今週ポテト食い過ぎたわ  来週あたりに山内死にます。
@PB0hoTDBc845RIK  次は、1000枚超えねらうしかwwww
@reo_gnrtos  とろ！明日もとれたらとろ（笑）
@m28227056  亜嵐　白濱　です　♡
桃子当たりだのんちゃん！（笑）
やはり可愛い子多かった死んだ（笑）  でも、男子人数少ないから彼氏できないなおそらく（笑）
@shione0601  待ってこんどつれてって！（笑） 絶対痩せるよね！！！
@shione0601  行きたい〜！でも太りすぎてもはや水着はいるかわからないよねwww
@shione0601  まじたのむwww
@shione0601  いこー！！つれてって💕
@PB0hoTDBc845RIK  ポテ禁wwww ポテト食べてしまった（笑）
@PB0hoTDBc845RIK  今日は、ゲーセンに金をついやしてしまつまた（笑）
@ecayuko  ほしいです！！（笑）
@ecayuko  もらいたい！！！（笑） あいたい！！！♡♡
沖見houseで遊ぶからお気に入りのバナナを持って制服のまま歩いてるけど、小学生の帰宅ラッシュで目線がつらい
@STRM_0410AB  今からおいでwwww
@lzue_m  やばい（笑）かさいせんせい保存する（笑）
@lzue_m  それ（笑）プレミアムかさい先生に会いたかった（笑）
@lzue_m  がちなの（笑）え、ハーフ？（笑）なんなんwww
@lzue_m  あの顔で（笑）まじレベル高いね！
ライン使えないときこそ ゲームとかをやらずに おうちの手伝いをしましょう（笑）  #だまれ
走行中に電車の窓が割れるとか何事（笑）
吉沢さんでてたてんしょんあがってみちゃってるよ⤴⤴  大地くん（笑）
@N12O7 最低かよ（笑）
牛角食べ放題いきてええええええええ笑
@yuisara78  は 言ってくださいませお姫様だろ
@PB0hoTDBc845RIK  急にびびった（笑）こわい（笑） 今日は楽しかったね♡♡
@PB0hoTDBc845RIK  そんなこと全然気にしてないわ（笑）
@PB0hoTDBc845RIK  みほちん手紙にたいしてあごでてないから気にすんなってかいてたやん（笑）
妹にタイムライン非表示にされてたかなしい  とかいいつつわたしも非表示にしてる（笑）
乃木坂だ〜！！！！ひっか（笑）
@cb08f07bc9434ac  英語のリスニングつらい終わる気しない（笑）
@shione0601  色！違！い！
@shione0601  水色よん☁☁☁
RT @HiGH_LOW_PR: 【Twitter限定企画】 このツイートをRTしてくれた方の中から抽選で30名様に「ROAD TO HiGH&amp;LOW」チラシ10枚をプレゼント！DMにて当選のご連絡をしますので、フォローもお忘れなく！4/7締切 #HiGH_LOW https:…
@asami_73114  いえすいえす🙆安定だよね（笑）
@3jsb04yui10  はなそはなそ！！ ヘッダー三代目？💭
@ayana_dream5  ぜひぜひLINE交換しましょ🔆
@ayana_dream5  てんきゅうてんきゅう！
@3jsb04yui10  いえす！！ LDH好きです（笑）
@3jsb04yui10  ぜひぜひ！！交換しよ👐
@Taishin0617  地味に神様に祈っとく（笑）
みんな！！わたしは今日からJKだよ！！エイプリルフールだけど！！嘘じゃないからね！！よろしく頼む！！
@PB0hoTDBc845RIK  おともだち&amp;学級委員&amp;文化祭実行委員&amp;応援団長  とかとか（笑）
@ecayuko  ぜひぜひ！LINE交換しよ〜😳
@ayana_dream5  わたしランドのほう行ってしまったしくった（笑）
@Ooo___ui  待ってwwwゆいねちゃん軍団発見したわろたwwwカラフルだったから写真とってもらうかまよってたやつ🙋
RT @Ooo___ui: @ayapeco0222   あっあっあっあっ！！！！！！！！！！！！寒そうなパリぴまんじゃん！！！！！！！ぱりぴ！！！！！！わかった！！！！！！！えっうそやばい
@Ooo___ui   今年1テンション上がってる（笑）やばないそれ！！！！！うおうおうおうお
@Ooo___ui   がちビビるなにこれ（笑）つなぎカラフルだったねほんとwwわたしたちもつなぎはやってるね〜とか言ってたからな
@17_chihaya   遅くなってごめんね😢ひなじ ようこちゃんねおけ！！！！
@WV741sL6gBKqIOQ  クチガスベッたああああああ😋
@Ooo___ui  あやちんは神奈川に住んどる🙆
@Ooo___ui   それな〜それな〜(;o;) またDisneyで会えることを願うしかあわわわ
@moritakedayo1   お祝いするねwwww
今年の1年の担任やばい（笑）  平均年齢高い笑うwww
@Nonpori_0317  いえすいえす！
@miyusato11   わたしの妹の担任川西www
@miyusato11   宍戸先生おるwww
@m28227056  ううん！副担だったよ！
@m28227056  3年5組の副担らしい（笑）まじなんなん爆笑
@miyusato11  川西先生が家庭訪問来るとかぞっとするよな（笑）
@Takumivb12 @miyusato11  そんなことねえよ！！！！！
@Nonpori_0317 @m28227056   3-5に未練タラタラなのねきっと（笑）
@Takumivb12 @miyusato11  もともと顎キャラじゃないからな普通に（笑）
@miyusato11 @Takumivb12  キャラ爆笑  顎出てないのに顎キャラとか言ったらキャラつくってるとかいじめられる♡♡♡♡♡
@harun0123   頑張って発見する👀
中央大学附属横浜高等学校 1年11組34番 ✨  やっとJK〜（笑）みんなよろしく！！
@N12O7   待って顎キャラは誤解うむから（笑）広めなくていいwww
@09_take_29   めっちゃダンスきれきれだったかっこよすぎ（笑）多分ダンスはいるよろしく！
@001129_tomo   それな！！ほんとやばい（笑）
@001129_tomo   ほんとそれ！！！なにあの人つよすぎて笑う
@001129_tomo がちで次元ちがう（笑）あのテンションも謎いほんと
@001129_tomo 尊敬する要素詰まってるww明日語ろう（笑）
RT @09_take_29: 11組の担任に似てると私の中で密かに話題に https://t.co/jBWKXCxC7P
震度7なにこわいうわうわうわ
@asami_73114  今日は会えなかったね………（笑）
ねえねえみんな ネオパールって直接書き込んでいいのかな（笑）誰か教えて
@harun0123じゃあ、ノートにやっといて、直接って言われたら答えうつせばいいよね？？？？？？？
@grm_haruka  うわありがとう嬉しい！！もっとたくさん話そう写真も撮ろう！
RT @grm_haruka: @ayapeco0222  めっちゃ話しやすい！宿オリのとき写真撮れたら撮ろ！ #いいねした人にメッセージ
@cb08f07bc9434ac うわそれめっちゃ恥ずかしいじゃん（笑）ネオパルね！！覚えた！
@harun0123  てんきゅう！！
@lj_0930 わたしの教材だけネオパールだったわ多分絶対wwwwwwwwwww
@cb08f07bc9434ac じゃあへいちゃんもネオパールね！2人でネオパール使おうwww
@lj_0930 わたしにぴったりな名前だ😉
@cb08f07bc9434ac え！へいちゃんつめたい（笑）
@lj_0930 似合いすぎて困る（笑）
@ecayuko ありがとう～～！ わたし女子っぽいより男子っぽいのほうが強い多分（笑）あゆこちゃんかわいいから彼女にしたい♡ ぜひぜひ今度遊ぼ！！！
@G9Rvq  わたしもらぶ♡♡お昼もっと近くで食べたいな（笑）
@miyusato11  かっこいい女大事ね（笑）会えるのを楽しみにしてる～
@syoogokk63  実際は、わたしが神www
@G9Rvq  遊ぼ早く（笑）今度マックいこwww
@maki120711  諸見里のためにもwww 裏切らないことをちかおう
@minnysoraka  妹ちゃんいるんです（笑）1年生にいる～
@RoYAkgFaE1ZeAlP  寒そう～（笑）体調気をつけてね～
@Lr4rU 約束したやーん！
@dehndehn1003 遊ぶしかないねうん（笑） これからもだる絡みがまんしてちょ！
@0221yuuuusei 接してあげてください（笑）
@syoogokk63 頭おかしいあほ（笑）
@yuusuke0711day この間（笑）二宮もいたとき
@Sara_FMB  山内は脱あごいじりwww
@Taishin0617  同クラ地味に願ってたのに（笑）たいしんと今度はなしたい！！！ありがとうね～
@PB0hoTDBc845RIK  この間行ったんだけど、100枚くらいにしてしまった（笑）
@Taishin0617 来てくれるの？嬉しい（笑） 明日小田原の時みつけたら話しかけるね～！！
@moritakedayo1地味にズートピアみたい、、
@maaaai_0308 ありがとん～ これからもたくさん手振るね♡♡
@Taishin0617 顔わかるよ！たいしん何回か見たことある（笑）
@PB0hoTDBc845RIK だがしかし山内は、また少し増やしてしまった（笑）
@lzue_m @PB0hoTDBc845RIK いずえはいるだけでいいかな😋みほちんと増やしちゃうお（笑）
@Katie_suzu_127  やばい笑う（笑）そこまで似てないしw w w
@manaloveduffy @Katie_suzu_127 まじやばいから（笑）まなか百面相いけるでしょ（笑）
まゆぱんちゃんの私服見れて地味にテンション上がったよねw w w w
@G9Rvq  普通にお姉ちゃんにしたい（笑）
@mayusae_18  ねえ今度遊ぼ！！おしゃれさん
ヒルトン小田原でダニに刺された最悪だわ～
くしゃみがとまらない今日このごろ  噂してるやつだれだよ！！ #いない
@Katie_suzu_127  やばい2枚目死んでるw w
@cb08f07bc9434ac  りゅうへいくん今度一緒に勉強しよ！（笑）
@Katie_suzu_127  次は、よりめでとろうか（笑）まなかも一緒にね
@cb08f07bc9434ac  わたし社会嫌いすぎるから社会やろ（笑）
@manaloveduffy @Katie_suzu_127  変顔の宣教師だよねまなか😘
@cb08f07bc9434ac  数学は好きだからまかせて もちろん場所はマックな
@cho_0808 喜ぶなよ😉💗決まっちゃってる運命 w w w
友だちにお菓子あげられるくらいに器用になりたああああい😢😂👎
@Rina06525108  言ったからには絶対バレンタインちょうだいね！！やくのそく！！
@Katie_suzu_127 わたしもいるけど？？？？✨✨✨✨✨✨
@Katie_suzu_127 @manaloveduffy  わたしたち近藤&amp;山内はもっと変顔の腕前磨きます✋
@yuusuke0711day  鳥海の帽子はたまーにかぶっちゃってる（笑） てんきゅう！
@Ayaka2150  田畑誕生日おめでとーう😉💗 久しく会ってないけどわたしのこと忘れないでね（笑）
@yuusuke0711day  もらった（笑） でも、そのかわりバンデルのネックレス買ってやった優しいわたし！！
@Ayaka2150  会おうぜ（笑）まじわたし身長伸びてるからななめんなよ！！
市が尾駅から寺脇が乗ってきたねぇ！！！！！！田奈小だった人！！！！！あの懐かしの
@Haru1113rk 青葉台駅で降りてった（笑）
@maki120711  撮れるわけない（笑）存在感だけはあったwww
@Reikappi2424  あせかいてたかいてた爆笑 なんか、たまににやけてて怖かったわ
@yuisara78 するわけない（笑）ただただ笑ったwwww
@Haru1113rk 青葉台駅で降りてった！！！相変わらずでしたよ🙆
テスト勉強やる気でない〜  最近スタバ行きたいとてもとても テスト終ったら行くしか💨
@Katie_suzu_127  わたしもともとはまってもない（笑）
@Katie_suzu_127  これから勉強しますね（笑）はまってくるwww
こどもの国線目の前で発車されたうざ
@ROCKWELL_LEAF15  わたしもひとり（笑）一緒〜
@ROCKWELL_LEAF15 それね！だからわたし冷凍食品？のピザ食べた（笑）
@ROCKWELL_LEAF15 え、、夜ご飯一緒にスタバ行けたね（笑）
@ROCKWELL_LEAF15 とりま、明日でテスト終わるから頑張ろ！
RT @Katie_suzu_127: イクシマが2人。4人。8人。 https://t.co/iIUorNFVLo
@moritakedayo1   まじルンバとか掃除きらいだよおい！ 11組にもこいよ！
@G9Rvq さやか可愛い✔ ポテト食べた？？？（笑）
最近、風邪ひいててくしゃみすると  え、今の何？もしかしてくしゃみ？くしゃみだけは女の子っぽい〜  って言われるんだけどくしゃみだけって何？？？？ねえ笑
花火行きたかった〜 今度だれか一緒に行こ😉💗
@PB0hoTDBc845RIK まじコインな！ また電車でモデルごっこもしたい爆笑
@__a_na0302 え！いってくれるの？いこ！笑
@__a_na0302 やった⤴⤴行こ〜う！！！
@futerwalk0123 うわリア充爆発しろ！
@78_Rapunzel   ななはHappy Birthday✔ いつもお世話になってます😉💗映画行こうね！遊ぼうね！部活頑張ろうね！
#フォロワーさんと家族ごっこ 父：mayou_izue 母：沖見優衣 兄：いずみあゆこ 姉：みすみゆいな 妹：近藤愛華 弟：りゅうへい ペット：イクシマケイト https://t.co/6jWZROonpF  幸せかよ笑
@Katie_suzu_127 かわいがっちゃうよ♡
@yuisara78 まさかの母で笑った（笑）
@ecayuko わたしはあゆと家族になれたら設定なんてもはやなんでもいい😉💗
@cb08f07bc9434ac わたしの弟になれるとか幸せ者だな（笑）
短縮Aとかご飯20分も早く食べれるラジオ英会話1回分よりも早く食べられるなんていい時間割なんだ😇😇😇
@Rina06525108  多分そうっぽい（笑）ちがったら笑うわ
RT @kodai_kokecoco: ～体育祭 緑組の人へ～  応援団の人数が少ないので募集しています！  最高の応援のため、人がもっと欲しいです！面倒だったり苦労する所があるかもしれませんが、後悔はしないと思います。  入りたい人は高校2年8組 長谷川までよろしくお願いしま…
居酒屋えぐざいる今年もやります誰か行きましょ行ってください（笑）（笑）
@17_chihaya ついにTwitterでまでカミングアウト(Coming)してんのかよ〜👎👎
なんか萩花ちゃんいつもと違う（笑）  Flower来ましたよ♡♡
GTECとかうざすぎるいきなりグレードたけぇんだよくそが
@RemiK1254   そういうお年頃だお😉💗
@Rina06525108  チキンよばわりつら（笑）ルールを守るという正義感に溢れてるだけなんだけど！！！
@PB0hoTDBc845RIK まじ人間の底辺だ死にそう（笑）
@PB0hoTDBc845RIK もう一個のほうがいい（笑）
@PB0hoTDBc845RIK 山内のふぁ〜ん👌👌  こっちのほうがライブ感があっていいねうん（笑）
@PB0hoTDBc845RIK
@Katie_suzu_127 これ最近のプリの加工だよ♡あごシャープ効果
@PB0hoTDBc845RIK またあそぼうで◎
@Takumivb12 それは気のせい（笑）プリクラのせい
Mステ最後の光強すぎて今市顔なくなってたよこわいつぼ（笑）
@Taishin0617   出遅れた感あるけど（笑）お誕生日おめでと〜う✨甲子園目指して野球頑張ってね！！！たいしんにとっていい1年になりますように
総選挙はやっぱ泣けるね（笑）指原おめでとーう
@mina55670624   みな先輩お誕生日おめでとうございます🎂🎉  みな先輩にとっていい1年になるよう願ってます🙏💗  これからもよろしくお願いします！！
しゅうかちゃん可愛すぎやろ😂
最高級にダサい格好して外でた時にかぎって知り合いとすれ違うつら
雷のせいで勉強できない〜  ただのいいわけです。
