ひなまつり集会！w http://t.co/EuBbN1eW
ラングドシャ  #cookie #cooking #food #foodlover #yum #yummy #スイーツ#お菓子#おやつ http://t.co/kAhEIcuQh6
あきよ作。『手』  #cookie #cooking #food #foodlover #yum #yummy #スイーツ#お菓子#おやつ http://t.co/SJi1yAAe0p
ぶち、作。『手』  #cookie #cooking #food #foodlover #yum #yummy #スイーツ#お菓子#おやつ http://t.co/bsz3yRUX96
二人の作品！  #cookie #cooking #food #foodlover #yum #yummy #スイーツ#お菓子#おやつ http://t.co/VrzQ1RisPp
記念。  #cookie #cooking #food #foodlover #yum #yummy #スイーツ#お菓子#おやつ http://t.co/timhPMpsJk
入院しているおじいちゃんへ。  #cookie #cooking #food #foodlover #yum #yummy #スイーツ#お菓子#おやつ http://t.co/UzZlEPVf3t
ぶち作。おばあちゃんに。  #cookie #cooking #food #foodlover #yum #yummy #スイーツ#お菓子#おやつ http://t.co/vHhIgLxKTf
キャンディーを使って作ったクッキー！！ カラフルかわゆす(＾ω＾) http://t.co/ZFLmzD5dah
にゃーさんから作ってもらったやつ！！！  #cookie #cooking #food #foodlover #yum #yummy #スイーツ#お菓子#おやつ http://t.co/Su4fWM9Rhu
いただきまーす！！ http://t.co/5GrkOTRtjF
よっ！！ http://t.co/AF4osx5G4j
ニョロニョロの発音と手と足が難しかったw http://t.co/aqUloEHR62
ぶちの！ かわいー(＾ω＾) http://t.co/L6ooKoDbQa
結集！！！！！  #cookie #cooking #food #foodlover #yum #yummy #スイーツ#お菓子#おやつ http://t.co/GY6Hxoh0xK
っぽいカフェで。 ありがと、ぶち、にゃーさん！ 蛍も見れて満足(＾ω＾)！ http://t.co/GH7Q3nxFNZ
みさきちゃんに(＾ω＾) http://t.co/JlAZ8u3sk9
今日、お見舞い行ってくる！ 昨日仕事で今日は休み♡♡ 一年に何度かの平日休み♡幸せ♡ ラッピングしたー(＾ω＾) http://t.co/VEuE6lkgTa
ランチなう！ http://t.co/3VWUOuQ8zd
さっ、今から晩飯、サッカー！！ http://t.co/2gqn5hz9a8
やばいやばい(´；ω；｀)一点…
よかったーー！！！(´；ω；｀)おめでと、にっぽん！
よかったー(＾ω＾)#soccer#サッカー まさかのハンド、PK ゆかちんと、正座して見たし！  飲んだし。 ぐっすり眠れそう！ http://t.co/JGIj97eZe9
今日の晩飯。#晩ごはん#cooking #food #foodlover #yum #yummy #晩御飯#晩飯 http://t.co/O1zjcn4no4
こんなとこが近くにあったなんて知らんかったな！ http://t.co/HhobKtqfs9
やっとゲットーーー♡ #ワンピース#ONE PIECE http://t.co/vdDxvYvX2Q
ん？ #cat#猫#cute http://t.co/BAft02n8Sy
むーたん♡ #dog#ビーグル#begle http://t.co/xXHxyrfdc8
おやぷみむー(＾ω＾) #dog #beagle http://t.co/7JCIK2hID8
オールウェーズが全国放送であってたー！！！ レモン豚骨ラーメンはうちは、イマイチやったとけどw #ラーメン http://t.co/OHlLqeCcxy
洗濯物取り込むの忘れた…(´；ω；｀) http://t.co/0Q4eTuRdl6
総選挙、大島優子2位やったかー… 今日、ろくなもん食べてないなー…なんで青森？？w
あ、長崎になってた！
延長戦…こんな時間にまだ試合が決着してないとか…首位キープのためにも、絶対勝って欲しい…
ドトールなう！ 今日、ろくなもの食べてない… @ ドトールコーヒーショップ 長崎観光通り店 http://t.co/sqNWg1JRcX
っぽいカフェのブース！ イチゴみるくと 特製の梅ソーダ！ http://t.co/aROPnxGzye
メトロカフェのクレープ 今日の昼ごはん！ http://t.co/4fWdOK5jm2
今日の、手作りおやつ！ 子供と一緒に作った！  味は…聞かないでくれw http://t.co/XbZ5bmHr5I
#lunch なう！ @ nana cafe http://t.co/QAwlgYqSub
やっとこさｷﾀ━(ﾟ∀ﾟ)━! ハンバーグまいうーやったー(＾ω＾) http://t.co/iFCNvI8sjw
31love http://t.co/aBTzYNeMuD
作ったーーーーーー (◍•ᴗ•◍) #プラ板ピアス#ピアス#プラ板#手作り#handmade http://t.co/DJoWaCoCoZ
晩飯。#dinner#cooking#ウチごはん#晩飯#ばんごはん#晩ご飯#food http://t.co/m43sSRyhQF
@haruharu0814 夢やったとさ…現実現実…あれ？明日って休みですか？祝日ってないんですか？6月にも作ってー(´；ω；｀)
和食。晩飯。 http://t.co/aDbOmLmjGr
紫陽花祭り。 今日は上プロで歌って来た！#PIP_Camera#紫陽花#flower http://t.co/4Xe4kehhnH
交流戦いいかんじー！！！報道ステーションもいいこと言ってたー！！！
父の日の絵、こんな感じになった！ http://t.co/HNu6r9VTFp
みちこの誕生日なう！ @ 清香園 矢上店 http://t.co/73iUAhluiN
優勝おめでとー！！！ 7月が楽しみー(･∀･)♡
@matss1986 え？長崎いるんですか？飲み行きましょうw
@matss1986  そーですか…土曜夜に平田に誘われたんですけど…ご一緒にどうですか？？
みちこのバースデーパーティー うちだけノンアル(╥Д╥ ) 母目瞑ってる… http://t.co/HgPZIugzCu
都市伝説〜！！！映してみよる！！久々♡
むさぴーのお昼寝 http://t.co/9arflbrXg5
@matss1986 いけたら？w
@matss1986 あ、途中で送ってしまいました！今日、松尾さんが来たら開催しようかとしていますw
@matss1986 渡部さんも来てくれるそうです！大丈夫ですよ！∩^ω^∩
飲み中！ @ 金魚 http://t.co/T8VIVbL7zr
昨日のせいろ蒸し！ めっちゃ楽しかったーーー！！！ みんな、長崎におればいいとにーーー！！！！ みんな、大好きーーー！！！ http://t.co/NdXZRGAeyJ
やっと昼ごはん！今日は、掃除めっちゃ頑張った！家具移動して模様替えした！気持ち入れ替えて来週から頑張ろー(･∀･) http://t.co/qzs3ydVjpl
けいちゃんと、りっちゃんに！プレゼント！#hanco #handmade #ハンドメイド#はんこ http://t.co/QzxIzSgnDc
@haruharu0814 いいよー！どんなのがいい？
サプライズ大成功！！！！ @ meso http://t.co/M7A6ehK0iA
@haruharu0814 はるか？ばば？苗字？名前？？
マッサージ行って来たー！！ ハンコ渡したらすごい喜んでた！よかった∩^ω^∩ また長々おしゃべりしてきた… http://t.co/jLyFLxIsFl
晩飯。お腹いっぱい。おごり♡ありがとう！ @ ガスト 東長崎店 http://t.co/H0pSkT5Pbg
ぎゃーー！！！かっこいーーー♡藤木直人！！！！
てっちゃん… 辛いーーーー!！！！ そんなこと思ってたくせにーーー！！！
そうゆー結末だったのか…てっきりついて行くのかと思いよった！
はぁ…終わった…ドラマとか久々続けて楽しみにみた…また一つ楽しみがなくなった(´；ω；｀)
昨日の！また集まったw http://t.co/5eheQzrdgG
今度みんなで行く、スカイツリーw http://t.co/VcMtIZKuwl
幼稚園前に住むにゃんこ。朝からご挨拶。 http://t.co/MdDRDh4vpM
こわい…戦闘準備満タンむさし！！ http://t.co/kvFbWZgqMK
表は顔！なめこみたい！ http://t.co/jo4ReNvZMO
らんちー♡ @ Cafe&amp;Bar M's272 http://t.co/3VHBaOScnO
初！ちゃんとしたところでの占い！紹介できました！ @ 占いOne http://t.co/wDeXz5exLi
一人で歩いてたらファッションショーのモデルにスカウトされたなう！w
後輩の店に来てみた！めっちゃいけめんやった！w @ 天神コア (TENJIN CORE) http://t.co/q1raKpnSZQ
緑ばっかり！！w @ 29酒場 天神 串かっちゃん http://t.co/d0HXfzttSy
後輩と。結局、飲み行ったw http://t.co/Lrw1MopQfN
対馬の話題で盛り上がりすぎたw http://t.co/kejmLhNsQh
幼馴染。毎日のように遊びよったー http://t.co/y3ZlRJC2Z1
@mizu_pn 翔平くんよー！お兄さんになって…三兄弟九大ていう！みづほちゃんとかぶっとったやん！てゆー話した！飲みたかったって！あと、しゅうじくんとも。
@matss1986 渡部さんもまた…です♡ 松尾さんがせめて九州におったら… 今度は、タコパしようと計画立てております！wこないだ死に目にあったけど…w
シシリアンライスー！！！ @ かとう家の食卓 http://t.co/9IdjUSyU50
木のお皿購入♡ 料理せんばー！！ http://t.co/vSOyBxMEcs
やばい…仕事のやる気が皆無になっている…明日からなのに！月曜までに終わらせんばやつ、とりま片付けよう！
ばばさんにプレゼント！ http://t.co/Ojmo9fOHa4
藤木直人かっこいい！ おしゃれイズム！
ディナーなう！ 今週は、これで乗り切ろう…！ http://t.co/mwqLuV9FXz
父が釣った魚！ http://t.co/lSCjsVrk06
いつきに。 http://t.co/bKEK9NEtNG
みさきちゃんに！ http://t.co/DsYwJX4b3m
ゆりに！(＾ω＾) http://t.co/mToA1p6hRw
明後日のために…♡ 作ってしまった！！  わくてかすぎる… http://t.co/KTSDI7drc5
今からカステラ、地酒持って、研修に行ってきまーす！やるのは夜けど！重っ！！ @ 長崎空港 (Nagasaki Airport - NGS/RJFU) http://t.co/gGZHNSWZcZ
やってきました！ とーきょー研修一人旅！ @ 東京国際空港 / 羽田空港 (Tokyo-Haneda International Airport - HND/RJTT) http://t.co/7G4y5gbHRf
快晴！w  明日晴れたらいいな！ http://t.co/TWltmowJ4o
一人ランチー(＾ω＾) 米ラブ！ @ WIRED CAFE アトレヴィ五反田店 http://t.co/ZXTb1H25aX
研修終了！ めっちゃためになった！ 早く子供に伝えたいなー(･∀･) レポート書いて、みんなに広めてうちの園はまた一つ前進！ http://t.co/AIHpuNVk8T
初！妹の店…！ @ 花の舞 http://t.co/eKHduPeZZj
めっちゃデブになっとった！聞いてたけど、ビックサイズびっくり！ @ 花の舞 http://t.co/BtWMr8GFMG
久々な友達！ 語った！ 大人になった！ @ 花の舞 http://t.co/VGu6DLyZou
バイト中…(-᷅_-᷄๑) @ 花の舞 http://t.co/FlHAMcKNE5
なんだかんだで妹、店長頑張っとった！ ただ、今から彼氏紹介するけんつれてくるとか…眠い…お休み… http://t.co/uJOFJVzTkJ
昔あげた写真、はっけーん！ http://t.co/ZcBB4QKx1e
いってきまーす！！ @ 東京ディズニーランド (Tokyo Disneyland) http://t.co/DMjZ329B74
ミッキーしよう。 @ インディ・ジョーンズ・アドベンチャー：クリスタルスカルの魔宮 (Indiana Jones Adventure : Temple of the Crystal Skull) http://t.co/lZrAMGpI0P
ミニーしよう。 @ インディ・ジョーンズ・アドベンチャー：クリスタルスカルの魔宮 (Indiana Jones Adventure : Temple of the Crystal Skull) http://t.co/PC8Ab4xRST
なうー！ @ トイ・ストーリー・マニア！(Toy Story Mania!) http://t.co/YRziaOPjfr
かーらーのー、妹とはぐれた…w 笑えんけど笑えるw @ 東京ディズニーシー (Tokyo DisneySea) http://t.co/YGPUdBo3If
ビールと肉が似合う！w @ 東京ディズニーシー (Tokyo DisneySea) http://t.co/U3RMtgZTZM
たのしかったー！！！ 夢の国ー！！！ http://t.co/EJQ73CRSBd
すきー♡  さよなら、東京… @ 羽田空港 第2旅客ターミナル (HND/RJTT) http://t.co/5dy55DgHk3
7月壁面！ もう、7月か… http://t.co/iULW2OKR2n
並んでますけどw http://t.co/p28Y8qcWOg
晩飯。 http://t.co/OMEfz3x7O9
もやしたっぷりラーメン♡ http://t.co/FMRNGsvHVb
願い事、叶いますよーに！  って！ 子供の分しかせんやった！ ま、いっか！ 晴れるといいなっ！ http://t.co/FiI78661rT
七夕製作！ http://t.co/YMgPEADvcE
誕生日カード！夏バージョン(･∀･) http://t.co/61KrQmHYok
誕生日カード中身！ 全部手作り！！ http://t.co/RorWDFZB5W
また来た. 私の癒しの場所。  ゆず蜜サワー チョコとキャラメルハーフパン かわいいクッキー  いつもありがと！ @ っぽいcafe http://t.co/G7DnrpTzGh
今日、ろくなもの食べてない…  チョコクロは好きけど！  米が食べたい…  よし、仕事がんばろ！ @ サンマルクカフェ 長崎浜町店 http://t.co/HWPBvDyo00
今の自分を変えたくて。  変わらんでもいいとかな…  とりあえず、読んでみよう。 http://t.co/2vJVHLkS5M
風の牧場♡ @ 風の牧場 http://t.co/IpN5IypmwW
7回くらい繰り返しまーす！ @ 風の牧場 http://t.co/cgkGrreora
バームクーヘン作り！！ http://t.co/TzVjyB8Zcl
ここにも癒されに来た！  こんな時間… 申し訳ないっ @ ほぐしcafe 遊庵 http://t.co/tP4QbkIO51
今日も一日頑張った！！  月曜から腰いたい！ 昨日マッサージいったばっかなのに！  とゆーことで、今からふくの湯行ってくる！ http://t.co/QnDaJb0fh7
今日も一日がんばろう！ おらにちからをーーー！ http://t.co/4lNgCa5xzj
今日もいい天気！ プールできそう！ http://t.co/x7TjmzUP1k
しぇーーーーーー！！！  私いるんだけど！ http://t.co/kjGz87mGhJ
こないだの！∩^ω^∩ http://t.co/SSj3AYvLgz
今日も晴れ晴れ！ よく寝た！ 仕事は進まんかったけど、まーいっか！ http://t.co/yCkFCPlxNz
月曜の海あそび！ いい天気で楽しく過ごせたー(･∀･) http://t.co/y3Zqbqcpj6
トウモロコシが！！ おっきくなってる！！！ http://t.co/YVXqL906xM
ピザもこないだ作った！ http://t.co/lq4SmJ8ErW
オクラも！！ 早く身がならんかなー♡ http://t.co/WmKz0s3qW6
今日もおつかれ！ http://t.co/Er46l6lsQ6
こないだ風の牧場で買った新鮮じゃがいもで！ じゃがバター(＾ω＾) まいうー！！ http://t.co/wPgltBFdGI
なっちゃんが差し入れしてくれたー！！ 会わない組み合わせでいただいたw http://t.co/F9bW2itrXq
ハス園によってみた！ @ 唐比ハス園 http://t.co/fD0eOsju3O
雲仙普賢岳登ってきましたー！！！！ 筋肉痛半端ない… http://t.co/Wr7uNPO7Bg
ごはん食べよるところ撮ったら、キッ！( *｀ω´)ってされたw http://t.co/4Rai5ScUcu
風穴！ ここ、クーラーみたいな風が来てた！涼しかった！！ 自然て、すごーい！！！ http://t.co/NmZPC4RaBK
温泉行って疲れも取れてリア充〜！！！ http://t.co/p4qYELceHc
街カフェ♡  今から、熊本いってきまーす！！ @ 有明フェリー 多比良ターミナル http://t.co/QlHm08xLEt
すてきー！！ @ 森の時間 http://t.co/KUIS7cnNxl
素敵カフェ @ 森の時間 http://t.co/vrrtBYYwpz
メープルワッフル @ 森の時間 http://t.co/RCSgn6W5Sg
ピッヅア！！！ @ 森の時間 http://t.co/xLBJMhRRxb
さよなら、南小国町！ @ ファミリーマート 南小国きよら店 http://t.co/VVQONkHxI4
はじめてのおつかいってなんでこんなに泣けるんだろう…w http://t.co/r3SmFOamDc
今日もおつかれっ！  #TopRankInstaText#tbt#versagram#statigram#christmas#summer#igaddict#photo#friends#boy#nice#c… http://t.co/ZYZP9Uj0gj
Amazonで買っちゃった！  やっと届いた♡  夏、ちょっとやってみようかなっ♡ http://t.co/wPlkBXQMqX
やっと、一学期終わったー！！！ @ 八十八夜 http://t.co/aPpoVCkeRC
暑すぎてばててるむーたん… 女座り… http://t.co/lPnnHQrfiH
登山靴買っちゃった！！ 明日も行ってきまーす！  リア充〜(･∀･) http://t.co/ILSrHf0LoV
今日の足湯は夏みかん！ いい匂い！！ @ ほぐしcafe 遊庵 http://t.co/I0QFcZZQUZ
また作っちゃった！  まだまだ掘った後が汚い(´；ω；｀) http://t.co/k5HZRbm9Vl
からふるー！ http://t.co/2f3B4f93wS
これからは、地球を守る！ http://t.co/RVw7uiNXQv
昨日は、ぶちに手伝ってもらってコロッケ大量に作ってディナー！ ホクホク美味しかった！ http://t.co/hiwxhXSEk0
スイカのマトリョーシカ！ これ、暑中見舞いのハガキに使う！ http://t.co/OqeP44kAsQ
土用の丑の日！ このために予約して実家へ♡ あざーす(･∀･) http://t.co/QKxXZabdSh
オクラ。 いつの間にか、大きくなりすぎて食べれないというw 本日子供と収穫。 大きいのは、明日スタンピングにでも使ってもらおう…(´；ω；｀) http://t.co/28Ou4zGjRE
シャトープラージュなう！ @ シャトープラージュ http://t.co/59u2uNM5Di
カボチャスープ @ シャトープラージュ http://t.co/sMIajusscm
研修会懇親会！ @ 雲仙宮崎旅館 http://t.co/dRm4BYE4hA
お土産を買いに！ @ 小浜海産 http://t.co/knSEMqOR43
園の桜の木。 大きくなりすぎて石垣を崩してるから、 いなくなりました。 今まで、 桜の花の下でシートを敷いて花見をしたり、 夏の暑い日には陰を作ってくれて休ませてくれたり、  四季を感じさせてくれました。… http://t.co/W1F9LZ4ocf
一番のパワースポット、バーゲン… バーゲンがパワースポット…確かに！ 何も買う気なかったのにもう、何着も買っている…なんだこれは！！！
やばっ♡ @ アサヒスーパードライ エクストラコールドBAR FUKUOKA http://t.co/tGfhuyRw8g
鷹の祭典なう！！ @ 福岡 ヤフオク!ドーム http://t.co/moOvmbGszt
左、たにーだよー！！笑 @ 福岡 ヤフオク!ドーム http://t.co/uvFzXFEJ6U
ここまできてチューリーと♡笑 http://t.co/TReBGXo8gi
ドームの花火！  みなと祭りは行かんやったけど！  長崎到着(´；ω；｀) 明日仕事(´；ω；｀) @ 長崎中央郵便局 (長崎支店) http://t.co/FlUmS2i5gM
冷しゃぶ with毎朝収穫するオクラ、ミニトマト！  まいうーです！∩^ω^∩ http://t.co/qb2wIdd3Xm
今から花火大会！ http://t.co/wzE0HuIBPm
今日は遠くまで公園に行った！ たくさん蚊に刺された、子供がw  いろいろ挑戦できて楽しかったー(＾ω＾) http://t.co/gwVZvR08hI
写真かえてみたー！夏バージョン！今度からまめに変えようかなw気が向いたら！
@mizu_pn がんばー！！！
なうー！！ @ 岳路海水浴場 http://t.co/hwBZHgzkTG
飲み中！ @ はち舎 http://t.co/pp279RlETv
本棚BAR♡ http://t.co/SSXMSwWxUu
軍艦島見える、 プライベートビーチ！ 人、ほとんどおらん！ 学生ノリではしゃいだー(･∀･) http://t.co/WeIQPAxhH5
くっるっみっボタンっ！ http://t.co/ueYXvnGjmp
オソロっぽいワンピ♡(･∀･) あれ？花柄…w  昨日は気づいたら9時間ぐらいのんでた！  今日はゆっくり休んでからの行動ー(･∀･) http://t.co/jdZP94CV8o
なうー！！！ 自由！ http://t.co/PiLQ1GaDIe
なうー！！！ 自由！ http://t.co/Xu3rpyixUW
Nailなう！ じぇるー♡ 友達にしてもらいよるー(･∀･) http://t.co/9wzreaMNbx
ネイルしてもらったー♡ かわいー♡ #typoinsta http://t.co/C56UwnkPA2
@haruharu0814 するー？？15日？あたり！安くでしてくれるはず！
@haruharu0814 がががーん…いくらやった？？
@haruharu0814 まーじーでー？？うち、これ、お金いらんって言われたけど、断られ続け、1000円でしてもらった！ 普通は、2200円くらいでするって！！ちなみに、たぶちー！！
今日は長崎原爆投下の日。 朝からピースウォークで！歩いてる人がいた。  毎年の課題、子供にどうやってわかりやすく原爆を伝えるか。 今年は非売品の絵本をGET！  昨日で夏季保育終わったから、昨日読んであげ… http://t.co/56jicfuyjK
めーーーちゃ好きやねん！  依存症！ http://t.co/zg0EbpB6Gi
BBQなう @ 長崎温泉 やすらぎ伊王島 http://t.co/09m3ekY9NH
スイカ割りー(･∀･)  夏っぽいこと！！  #Moldiv http://t.co/rdi3zQuQMo
綺麗な石がいっぱいあったー(･∀･)  #Moldiv http://t.co/bixOTDWWAF
また、BBQなう！ http://t.co/oEbTcArdr0
久しぶりのBBQ！  いや、昨日ぶりBBQ！  二日連続BBQw http://t.co/7rnlDgk9Hb
ジェルネイル2人目ー(＾ω＾)！ ドット、 かわいー♡♡ http://t.co/NHAoaWD1Ee
チビはんこー！！ http://t.co/zWHc8m8RtH
稲佐山の近く！ 景色いいー(＾ω＾) http://t.co/n5rKKC1q8g
山道ダッシュ！ 10年前ぐらい、頑張ったね…笑 @ 立山公園 http://t.co/2UxBk5AUt1
懐かしのヒヨコ岩！！！  ほんと、懐かしすぎる！！ http://t.co/74U5v6nBGS
涼しくなってきたねー！！  今から、また街に繰り出しまーす！  今日は、精霊流し！ http://t.co/AfiNkPZES3
#nagasaki#japan#長崎#精霊流し @ 長崎県庁 http://t.co/j6J6g9f7pZ
アミュで涼み中！ 暑かったー @ アミュプラザ長崎 http://t.co/Sd4Vtw3IwT
@matss1986 道、たどり着いたけど間違えましたw行きますか？？w
晩御飯！ http://t.co/R1ewrkZ7Hw
夜の散歩に海に行ってきたー！！ http://t.co/O2RMkyaLTN
LIVEなう！ http://t.co/vO6dgQPGwv
MUSICLIFE2013 楽しかったー！！ お弁当作ってくれてたー♡ いろんな意味で激アツやったけど、 毎年参加できる幸せ♡  また、来年も(･∀･)！  #Moldiv http://t.co/ne1LbW7TM3
今日は、川に行ってきたー！！ ひまわりばたけ♡ http://t.co/QB48cMKC9z
ひまわりー(＾ω＾)  #Moldiv http://t.co/hzOfNcgHP2
また、スイカ割りー(＾ω＾)  みんなに、久々会えたし楽しかったー(＾ω＾)  #Moldiv http://t.co/OzSaDuxRlk
みんなに久々会えて、 嬉しかったー(＾ω＾)  大学に戻った感じ！  夏っぽいこと、たくさんできたー(＾ω＾)！ http://t.co/FYJFhg4jFx
今日はピザ屋にいってきたー！！ なおちゃんおかえりー！！ http://t.co/dq6nmRdo7e
白糸の滝！ 今日のプチ旅行スタート！ http://t.co/0ZSXsIdxum
めっちゃ楽しかったー！！ http://t.co/3WtwpICRtO
しゃれおつカフェー！！ @ PALM BEACH CAFE http://t.co/fV2eS0Gg69
ここここっ！ @ PALM BEACH CAFE http://t.co/KbRhqiooWd
いいとこー♡ @ またいちの塩 http://t.co/H28R18ATv1
にゃんこと戯れるまむしの湯 @ 神水 まむし温泉 http://t.co/Y5mWczzIs0
2枚を合成！w#Moldiv @ 神水 まむし温泉 http://t.co/wEUx8ElZQj
松がいぱーい！ 昔、前の前の…彼氏と来たなw @ 虹の松原 http://t.co/Qq4xodkt0L
まいうー！！ 肉汁やばー！！！ @ ももや http://t.co/WYYelRmyM4
おそろコーデ♡ なぜか、立ち位置いつも同じというw #Moldiv http://t.co/CAbNWF6zIY
今日はおうちでネイル屋さん！ うちがしたわけじゃないけど！ かわゆすー♡♡ http://t.co/4oOkKutwKX
ピアス作ったー！！！ http://t.co/zU5zjR9EeU
ビアガーデンなう！ http://t.co/QuBK0schFT
むーたん階段下でおひるねー(＾ω＾) http://t.co/qUXOQvWrgF
家の近くで クワガタはけーーーん！！！  一人でめっちゃテンション上がったー！！！  去年買った昆虫ゼリーをやってみる(＾ω＾) http://t.co/5atoNn0gXA
ウェイクボードなう！！ @ 西海橋 http://t.co/01VNXN1YSn
かっこよかったー！！ @ Le GRAND BLEU（グランブルー） http://t.co/pyfB0mKHKc
フリマにだすやつー！！ Part1！ いやー、仕事は眠くなるのに、趣味はいつまででも起きれるー 怖いわー！ http://t.co/HNcgDgmUF4
Part2！ 昨日は疲れて、ご飯食べずに半日ぐらい寝てしまったけどw 運動会の練習体力かなり使うー(╥Д╥ ) http://t.co/pj6bIs0hCt
Part5！  結構な数あったw http://t.co/DsOph2apK5
パラグライダーなうー！！ おもしろー！！ @ いこいの村長崎 http://t.co/A8gWSiF1KV
バリカレー！ @ インダインダ Indah Indah http://t.co/ZVBB1OQ7Ra
疲れたむーたんw http://t.co/6Ca44GaUr9
はぴばー！！！ けいくん！ http://t.co/vl9Oq3pvP9
なんこれ？？意味わからんけど、急に左肩っていうか、背中ていうか… 痛くて起きた！ある一カ所だけ！なんで？虫？めっちゃ痛くて眠れん！この私が！意味わからん！
久々きたー！！ @ 銭座小学校 http://t.co/ZjB9YTzAKu
いってきまーす！！ 大阪なう！ @ 助松橋 http://t.co/zAAAMrzxgu
伊勢神宮なうー！！！ 亀の石！ @ 伊勢神宮 豊受大神宮 (外宮 Geku Shrine) http://t.co/6TQPCydm5e
@haruharu0814 今度は、今年までに出雲大社にいかんば！！！！
@haruharu0814 旧暦の11月ていつ？ なんか、神無月に神様が出雲大社に集まるって聞いたけど…？？
@mizu_pn 今から大阪行きまーす！だんじりって、雨やったら中止？
だんじりー！！ 岸和田城も！ @ 岸和田城 http://t.co/8bagxJPV3z
だんじり！ やっと、走ってるとこついたー！w @ 岸和田市役所 http://t.co/XQSXQjVTlg
通天閣なう！ @ 通天閣 (Tsutenkaku) http://t.co/vwCgjeJIUm
伊勢丹なう！ 風強い！ けど、飛行機飛んでる！ よかたよかた！ @ JR大阪三越伊勢丹 http://t.co/sDpGg2aoNl
私のかわい子ちゃんたちの一部♡ 今日のFacebookにのっとったけん、画像かってにもらったw このときだけ、お利口やった…図。 http://t.co/BfbAivcV60
今日も変な人ばっかやったー… http://t.co/lm9NZsLZdL
@sadamisa 今更返信w 大阪でしたー！！伊勢丹ではお目当てのキルフェボンのタルト買えましたー！！(＾ω＾)
知らないおばあちゃんが子供に誕生日プレゼント何がいい？って聞いてて、  仮面ライダーのメガネっていったら、おばあちゃん、カメレオンのメガネって聞き間違いよったとけど、大丈夫かなー…？？余計なお世話？
パスター♡ よかった♡ 母のおごり♡ @ パスタ屋 厨屋 http://t.co/XV5wx6sMxy
ゆかちんにも会った♡  内村航平の母にもまた、会って笑  2-0で勝って！  諫早も満喫してー  楽しかったー(＾ω＾) http://t.co/y8YzEnoTwQ
今、コンコンコンってドアなった！！ 気のせい？あたし、もしかして、何か見えんの？笑  いや、笑えんし… また例の人？何だーーーー？？？こーゆーとき、頼りになる人がおったらって思う(´；ω；｀)てか、しゃべり相手！ 鍵はちゃんと閉まってたか確認してきた！けど、穴覗けんやった！
キモイですが、 通算300日笑 ここまでしてる自分にうける iPhone5Sに変えてもデータはちゃんとうつるのかな… http://t.co/wBhAAoPZYM
父の誕プレと、 先輩の誕プレ！ なかなか？w http://t.co/KQ9P2QzxaK
ヤフオクドームにーーー  きたーーー！ @ 福岡ヤフオク!ドーム http://t.co/NJdNC3PNab
祝勝会！ @ 炉ばた雷橋 http://t.co/DccCCxhoIf
おいしかったです！ ごちです！ 素敵BARでした(＾ω＾) 福岡最高ー(＾ω＾) @ 夢吉（Yumekichi wine） http://t.co/lCVrHkUWCG
昨日飲んだ後 夜中ほぼ完成させたプレゼント！ 仕事はせずにこっち笑 素敵な旦那になれよー！ 結婚式が楽しみすぎる！ http://t.co/9ylIXbmprx
たこぱなうー(＾ω＾) http://t.co/bc3KdkbvqC
こないだの むさぴー(＾ω＾) 肉球触ったら怒られた笑 http://t.co/3VRhMmDYks
今から竹ン芸！ @ 若宮稲荷神社 http://t.co/hnbirsDvCA
なぜか、 わざとこけて遊ぶの図。  今日は、救急車と手術室が 大忙しでした笑 http://t.co/xGv05DwW1e
とうとう作ったゆめか笑  それも限定ホークスカード♡笑  今日は朝から咽喉科行って、 一ヶ月以上よく治らない喉を見てもらった。  なんか、熱あった笑  もっと早くこんばやったみたい笑  これから、薬忘… http://t.co/IORM2lcGTw
タコパなう(＾ω＾)  まいうー http://t.co/Iqc3Zw45f5
おそろのパジャマでタコパ (＾ω＾)♡  ウノして、トランプしてー 楽しかったー(＾ω＾) http://t.co/ETT6E0bZAU
今日は幼稚園近くのくんちだった！ 子供たちの太鼓、そして、職員も太鼓叩いて一日終わった。 太鼓運ぶ途中、うんこ踏んだ。 2回。  臨時収入で、靴買った！ 明日から履くの楽しみ(＾ω＾) http://t.co/ViWna1cgBn
実家に帰り 久々にむーたんさんぽした(＾ω＾) http://t.co/atU0YL0m8Z
藤子に7年ぶり？ぐらい？ に会った笑 ためになる話を聞いた笑 http://t.co/qN1X9A8cxp
ゆ…指がぁぁぁ！！ http://t.co/FjA5OgKnWc
焼けたー(＾ω＾)  かわゆすー！！ http://t.co/8zDaOBRgE7
イライラむーたん…  ご飯食べたいのに食べれない。 調子悪い… むー、大丈夫かな…  てか、さっき警察から電話きて、脱走してませんか？って… 常連やからって笑 多分、お友達のけんたくんじゃないかと言ってお… http://t.co/MtpDafHu3Z
あー忙し忙しっ！  明日配る偽物キャンディ。 特にせんでもいいとに、10月頑張ったらカリキュラムこなしたから、明日は急遽ハロウィンパーティーしようってことに(＾ω＾) @ っぽいcafe http://t.co/rbz6DdVIIF
保護者からもらったーー！！！ わーいわーい！ おくんち、 万屋町、今年メインの鯨の潮吹きの手ぬぐい♡  どこにしまっておこう…(＾ω＾) うれしすー！ http://t.co/LDgQtlohZE
きのうの笑  みんな、疲れとる笑 http://t.co/LPACooB1lt
