@masa11020016so2  ロリコンおめでとう😉 https://t.co/Msj9mXeYl3
@masa11020016so2  じゃあ、くそ出っ歯メガネ？😄😄😄😄😄
@ayari0105  あやりん😳🌷🌷 おめでとう💞💞💞💞 （トイレからメッセージ💌）
あにほ、れいな、みほお菓子ありがとう😆💞🌷🌷🌷
RT @1MI0KU1RI9: 感動する💗💗 見たい😊💋 https://t.co/GrpyvQrEKx
@ya05ma09  しのちゃんお誕生日おめでとう😆😉💞
@hshiori64  しおりちゃんおめでとう😍😳 羨ましい限り〜😊💜💜
RT @ayutty1102: 口開けて横からしてるのやばい。手添える感じもずるい好き  #菅田将暉 #溺れるナイフ https://t.co/a9tJ1mEl2y
RT @BB_SNSD_: . 🍭👻HAPPYHALLOWEEN🎃🍬  セーラーゾンビ良き💫💋💕 パリピで楽しかった💥💥🌼❣️ かわいい方達に癒された😊❤️ . #halloween #セーラー服 https://t.co/nsLqlJdKAq
@ya05ma09  いえいえ😆
@hshiori64  いやいや、、、照れます😘笑
1日部活で疲れてて 2人で家でゴロゴロしてたら ままに拉致られた🙂🙂🙂 テコトデお出掛けしてきた🚗💫 びっべんのプリ撮るの付いてきて貰った🌼🌼もう幸せ、、。 タプさんと2ショット、、❤️❤️ #BIGBANG0TO10 https://t.co/1gqOQL8ZOo
RT @ygent_official: [HAPPY BIRTHDAY T.O.P] originally posted by https://t.co/XZQ3IOI9MY #HappyTOPday #TOP #BIGBANG #빅뱅 https://t.co/r2OhBrg…
タプ🔝🔝🔝🔝🔝💚💚💚 世界で1番大好きな人！！！！ センイルチュッカヘ！🎂💫💥 兵役なんて行かないで！ 悲しくてぶっ倒れそう！😭😭 明日も会えるから楽しみ！😳🤘 사랑해요！！！！❤️❤️❤️❤️❤️… https://t.co/n1uqYMMt9L
RT @momo17gd: いよいよ！BIGBANGが！日本に！東京に！くるううう！そして！ついに！ドームツアーが！始まるううううううう\( ˆoˆ )/🇯🇵💕❤️cr.pic https://t.co/D2huQ0w9ut
\♡o｡+..:*4months♡o｡+..:*/  ◎あたしが嫌なことあってむすってしてたら話最後までうんうんって聞いてくれて｢頑張ったね｣ってよしよししてくれてあたしは幸せ者だと思った( ¨̮ )♡*°  これからもよろしくね… https://t.co/uV8GEkZxWp
RT @BB_SNSD_: タプ🔝🔝🔝🔝🔝💚💚💚 世界で1番大好きな人！！！！ センイルチュッカヘ！🎂💫💥 兵役なんて行かないで！ 悲しくてぶっ倒れそう！😭😭 明日も会えるから楽しみ！😳🤘 사랑해요！！！！❤️❤️❤️❤️❤️ #TOP30years생일1104  #사랑해요…
RT @BB_SNSD_: 1日部活で疲れてて 2人で家でゴロゴロしてたら ままに拉致られた🙂🙂🙂 テコトデお出掛けしてきた🚗💫 びっべんのプリ撮るの付いてきて貰った🌼🌼もう幸せ、、。 タプさんと2ショット、、❤️❤️ #BIGBANG0TO10 https://t.co/1g…
@_rina__t102  ありがとう😆🌼❤️
@kkkannni17__  うんやばいよね😂😂 思い出すだけでにやける😗💕笑
@BucciWowwoo  あんな！あ！り！が！と！💥💥
@_____rr02  りかこちゃんありがとう😳❤️❤️
@__Qt_m  あかありがとう😄💕💕 あかくるくる似合ってる！！😳❤️
@_kwyk  いやいや〜😆嬉しい😍 ありがとう😊💞💞💞
@am_22_06  お久しぶりです😄🌼 ありがとうございます😭😭💞💞
@sa_cha_xxx  ええええぇぇ？！どこが、、 太りました。ピークだよ🙄🙄🙄 早く惚気聞かせたいわ〜😆😆😆😆😆😆💕💕
@ayari0105  あやりんありがとう😍❣️❣️❣️
@____pkhty9  ありがとう😘 来月も送れず頼むよ😘😘😘
@yuit_37  ちんたむありがと😆💞
@muroyu0510  ゆうかちゃんありがとう😉❣️❣️
@miho120807  ありがとう😳❤️ みぽりんが聞きたいだけじゃーん！笑 聞く専門だもんね😘😘😘😘 あ、写真送るね！爆笑爆笑
@natsuki_atae  なつきちゃんありがとう😊💕💕
@kanami200082  かなちいつもペアルック褒めてくれてうれしいしいしい😚😚❤️
@__gon_chisa__to  ごんごんありがとう！！ まさかの記念日同じ？？😙😙😙
@syakura_3_9  ありがとう😚💕💕 久しぶりに函中行きたいわ〜😄😄
@___hi_ragi___  ありつ！！！！😉😉😉 てかてか！この前載ってた男の子弟？？！
@not__ntn15  かなちゃんありがとう〜😻😽♥
@kkkannni17__  んね😆😂😂😂 もえちゃんたちもお幸せに😚❤️
@NSBk7GOrX1uCbfd  ありがとう〜😚😚 ままに潤ちゃんに可愛い彼女できた！ってゆったら驚いてたよ😆💫💫
@hhh____m29  ほのかちゃんありがとう😆💕 ほのかちゃん可愛い！！！
@t_m___xxx いやいや！そっくりそのまま返します！みのたんおめぴ！！
@323_akane  ありがとうございます😆❤️❤️
@_____nemui____  さえっぴー🙅🏽🙅🏽ありっぴー🙆🏻🙆🏻🙆🏻
@amaomi8312  あまねんありがとう😆💕💕
@____saaaki0602  あらさきさんありがとう😘❣️ 髪の毛長いのほんとに可愛い！！ もうマフラーの時期だぞ！！！
@chanyui_7859  ありがとう😊
@sa_cha_xxx  まじか！😂😂😂😂 太ったからふわふわして見えるのかな？😂😂😂
@katoyaya1222  ややありがとう〜😳💥💥
@shappygirl321  わすれんなああああ😗😗😗21/////
@_M_3939 みくちゃんありがとう😳😈❤️
@sfvW1I7dgJbgdRb  ありがとう❣️❣️ よろしくね😊💕
@ayari0105  いやいやあああ あやりんたちにはまけます。😂😂😂
@Hi7Ka0Ru4  ありがとう😍🌼🌷🌷
@___hi_ragi___  やはり！？！！クッソイケメンや😳😳😳😳😳😳😳😳❤️ 惚れた、、何回もドアップで見ちゃったよ❤️❤️❤️❤️
@nanasega0119  ありがとう😭😭❣️ そんなことないよ🙄🙄 また試合出会えたらいいね😆😆
@ai25mm74zo やあたなさや😊 あざす😘😘😘そろそろ遊びたいね😄😄😄😄😄
@nhu1106  ありがと😆❣️❣️❣️
@shappygirl321  当たり前！！笑笑覚えやすいもん笑笑
@rrtw66  ありがとうございます🙈💭❤
@sa_cha_xxx  そゆことか😆😆爆笑
@mm__0521 ありがとう😢❤️この前サントで会いたかった〜😢😢
@_____nemui____  しってるよだからこれにした🙆🏻🙆🏻🙆🏻🙆🏻 小さい頃焼かれたから黒いんだよ👩🏽
@s4alx_gr  よく会うよね！😂😂 電車で喧嘩ばっかりしてるよ〜！笑笑
@t_m___xxx みのりんあいているやん😍😍😍😍😍
@3J8CuuPztuLRi1y  ありがとう😳💕💕
@Yuchan1267  ゆうなちゃんありがとうううう🙈💕🙈💕
@m_u0903  ありがとうございます😭❣️❣️
@NSBk7GOrX1uCbfd  まじ〜！笑 潤ちゃん優しいからね〜ってゆってた笑
@track_210_  ありがとうございます😂😂
@4egI2  うららちゃんありがとう😊❤️❤️
@__gon_chisa__to  だよね！笑 ゴンゴンもおめでとう〜❣️❣️❣️❣️
@june_1706  じゅねちゃんありがとう😻😻
@am_nne0326  ありがとう❣️😆😆
@hidarisaido10  おお！ひらちゃんありがとう😆🌼 彼女できた？？😝😝😝
@MinwooChi  いえいえ😆💕 気づかなくてごめんね😢💥
@nanasega0119  あたしもかけるね🗣🗣💄
@___hi_ragi___  いや、あれはやばいよほんとに、、、
@____saaaki0602  ええええぇぇ？！なんでえ😭😭 ういっす😆😝❣️❣️
@china_desu  ありがとう😭🌼💕💕
@LrZsVJ3fZOehaC1  ひめめ！ありがとう😢😳😳❣️
@______akos  遅れてますよ😆😆😆😆😆😆💕
ドキがムネムネ〜😍😍😍😍😍
今日ブルピン来るんだよね🙄💕 一緒の空間に入れる、、😍😍
てかブルピン関係者席なら そっちにしてもらえばよかった😢 後悔、、、、
@n_7_g_8  楽しんできます😍😍😍 準備バッチリですよ😆😆😆
RT @IBGDRGN: 今日からTOKYO DOMEで。🔥🔥🔥🔥🔥 #BIGBANG10 #0TO10TOUR #THEFINAL #ENCORE https://t.co/0VN20u6zGh
#タプイル企画成功  #タプイル企画成功  #タプイル企画成功 🔝🔝🔝🔝🔝🔝🔝🔝
@n_7_g_8  セトリもぜんぶ一緒でした😢😂😂😂
近くの席でV6もびっべんのlive見に来てた❣️
BIGBANG 10 THE CONCERT ：0.TO.10 -THE FINAL-  じよんさんが指輪選びで遅刻して始まった初日公演🐲 タプイル成功🔝❤️👐👐 5人揃ったところ見ると涙止まんなかった👼🔝🐲🐼🌞 余韻がすごくあり… https://t.co/PfdEjG2l7L
最高に幸せだけど悲しい😢😢 寂しい😭😭😭😭 たぷこれが最後かもしれないとかこれからなにを生きがいにして生きてけばいいんだろう😢😢😢 追加公演あること願ってます🙏  #東京day1… https://t.co/tofPvzydMX
@_____nemui____  あ、目玉焼きは白いは❤️❤️❤️
@hidarisaido10  や、や、やっぱり！？！爆笑
@kaminomi114  りゅうちぇる先輩〜😳😆😆 ありがとうございます😆
@____saaaki0602  まあ、さきのショート嫌いじゃないけど😳😳😳
@s4alx_gr  ほんと？！笑 今度聞いててみ〜爆笑 うん😆🌷🌷
@hshiori64  ありがとううううう😳❤️❤️
@n_7_g_8  少し残念でした😜😢 始まりはばんばんばんとかで始まって欲しいです、、、笑
@_____nemui____  そっちか〜い！！！😂😂😂😂
@TymNpnBD9IWGXOP  大丈夫！！ありがとう😳❤️
じよんさんがさりげなく はるはるの最後の｢say good bay｣ のところを｢てぃーおーぴー、お誕生日おめでとう｣って言っててかっこよすぎてキュン死した、、、❤️
余韻が強すぎて 全然眠くならない👐👐 明日も1日練習試合なのに死ぬわ、、、、😂😂😂
一瞬だけ見えたタプさんの黒のサングラスに黒のジャケェットほんとに世界のなによりも1番かっこよかった、かっこよすぎて言葉で表せない、、、やばい、、、❤️ #東京day1
@spongebob_0330  おめでとうございます😳❤️❤️
RT @BIGBANG_JPN: 岡村さんとスンリ https://t.co/apaecogkGO
RT @momo17gd: じよんパパ、じよんママ、ダミ姉。そして息子のじよんさん。家族写真。とっても素敵（涙） https://t.co/SffAdGeY9B
RT @momo17gd: 🐲「また、、（ため息）、会えるか、、分かんないですけど、、」  じよんさん。お願いだから、悲しくなるから、そんなこと言わないでーーーー😭😭😭（涙） https://t.co/dqG4gRewAK
RT @momo17gd: VIPの為に手紙を書いてきてくれたたぷさん。  🔝あっという間に10年が経ちました。VIPの皆さんに会えたのも8年前ですね。 今振り返ってみると皆さんが側にいてくれたからこそ楽しかったし幸せでした。  私にも皆さんを幸せにすることができたでしょうか？…
RT @momo17gd: 🔝今まで私たちを支えてくれてありがとうございます。  出会いは別れの始まりで別れは出会いの始まりだと思います。  きっとまた会えるから、、その日まで元気でいてください。  愛してます。  ---   からのtell me goodbyeは反則です（涙…
RT @BB_SNSD_: BIGBANG 10 THE CONCERT ：0.TO.10 -THE FINAL-  じよんさんが指輪選びで遅刻して始まった初日公演🐲 タプイル成功🔝❤️👐👐 5人揃ったところ見ると涙止まんなかった👼🔝🐲🐼🌞 余韻がすごくありあまる！！！  #東…
RT @BB_SNSD_: \♡o｡+..:*4months♡o｡+..:*/  ◎あたしが嫌なことあってむすってしてたら話最後までうんうんって聞いてくれて｢頑張ったね｣ってよしよししてくれてあたしは幸せ者だと思った( ¨̮ )♡*°  これからもよろしくね\( ¨̮ )/♡…
接骨院らぶ〜 久しぶりの人達に沢山会えた😝 中学の時みたいに毎日通いたい、、、、
RT @fwafwa7: . 片想いじゃなくって、もうこれからは、 ちゃんと目を見て好きっち何回でも言って いいんや！ うれしい！ うれしい！！！ . https://t.co/3XjEyhXxdr
RT @momo17gd: めざましTVきたあああああ！！♡  「メンバーのT.O.Pが韓国で兵役につくため"5人でのライブ"はしばらく見納め」  🔝「もっともっと成長するBIGBANGになります。本当に愛しています。」  たぷさあああああああん｡･ﾟ(ﾟ⊃ω⊂ﾟ)ﾟ･｡ ht…
ずっと欲しかった😆❣️❣️ 使いまくろ、、😜👑👑 #bigbang #ポンタ https://t.co/dwkBUYyL00
@mm__0521  うんとるとる📷🙄😚❤
@hidarisaido10  いきなり三島駅で前からぶつかってくるのやめてくださーい😊😊😊
@n121108  青チン！！！😚❤️❤️❤️ お誕生日おめでとう🎂🎈🎉
RT @mezauranai: 2位 【おとめ座】 ステキな出会いの予感♪ 積極的なアピールがカギ。  --ラッキーポイント-- 『キャラメルラテ』
@Gaia829Gaia  @43012Naoki  おおお〜！！！ あたしが作った５番めっちゃ輝いてるじゃん！！！！😚🤘🤘🤘
RT @IBGDRGN: #Repost monsant_official with repostapp ・・・ 11/11 11:11(pm) Since it's a special day, we have a… https://t.co/hsUvQGGbdC
RT @Suzu_Mg: 映画「先生！」響ちゃんヘアー ショートになりました💇 https://t.co/8H6uK8u3FP
RT @haroobomkum: "HAPPY B-Day"~❤️❤️🐘 ☆*:.｡. o(≧▽≦)o .｡.:*☆ 밑에있는 사진 참 오래됐다~🎂우리 연습생때 사진들 *^____^* Happy BIrthday 다롱이^^🎂❤#2ne1 #dara #happybir…
RT @BB_SNSD_: #ズートピア #🐰🐱 https://t.co/n7dY7S43Aa
@kkkannni17__  もえちゃんおめでとう😆😚❤️❤️
RT @gdmeel5s: いつの日も / 阿部真央  どうか貴方だけは どこにも行かないで  その時まで隣で 何度も抱きしめて  優しくキスをして  いつの日も傍に居て 隣で息をして  私と共に生きてよ  菅田将暉 × 小松菜奈 https://t.co/XLhBIuSwOW
@sanio099  みゆちゃん😆❤️ お誕生日おめでとう🎂🎈🎉❤
RT @yuit_37: 楽しかった！☺️💫
RT @GTVSD_2006: 💥💥BIGBANG💥💥 JAPAN COUNTDOWN &gt;&gt;&gt; full  案外長かった😳💖  兵役行ってたとえ６年揃わんくても 絶対びっぺんでいる😭💞 世界中のVIPがちゃんとBIGBANGの帰りを待ってるよ☺️✨✨ https://t.co/…
RT @Kstyle_news: BIGBANGのT.O.P、来年入隊が確定…義務警察に最終合格 https://t.co/FI4jkBbtGj https://t.co/oIw8qcvV57
これ見たら泣けてきてほんとに39度まで上がっちゃった。 つらすぎる https://t.co/o1SNvaXzaC
今日もこの前も 御見舞来てくれた🙄🌷🌷💕 部活で疲れてるのに走って来てくれてありがとう😳😭🌼 手紙も落ちてたやつ拾って入れてくれてありがとう😝😝😝 https://t.co/lH8Ez93a8o
@Gaia829Gaia @Ayaho0614  おめでとうおめでとうおめでとう😳❤️❤️❤️❤️❤️ ほんとに顔にてる！！！👵🏿👵🏿 まったくあなた達2人は見てて和む🌼🌼🌼🌼夫婦みたい☁️☁️☁️☁️ 今度は3人で帰ろうね😂😂🌷🌷 がいあやほカップルお幸せに💕😝
@r_112100  ワタシトイッショニチコクシマセンカ？
@Gaia829Gaia @Ayaho0614  なんか元気なのか自分でもわからん😃😃 食欲増してるくらいかな🤘🤘 そりゃあー三人四脚だもん👵🏿👵🏿👵🏿
@r_112100  オウチダレモイナイヨ オフトンアルヨ ブドウモキウイモバナナモミカンモアルヨ♥♥
@Ayaho0614 @Gaia829Gaia  インフルの検査もしたのに異常なし😑😑😑😑😑 結構ガチで太った😂😂😂😂
@Ayaho0614 @Gaia829Gaia  無理無理！あれやられると涙が勝手に出てくるわい👐👐👐
@Gaia829Gaia @Ayaho0614  そーなの元気なの笑 熱が39度から下がんなかっただけ笑
@rrtw66  みゆさんおめでとうございます😳❤️🌼🌼
あと15分も電車こないの？ だから田舎は困る😑😑😑
そーえば、 あたしのスポドリ間違えて持って帰って飲んだの誰ですか、、👴
RT @BB_SNSD_: 3months___👫💞 毎日一緒なのに全然飽きない💥 いつも荷物持ってくれて 嬉しいｺﾄたくさん言ってくれて😚 あたしをにやけさせる天才です🙊 すぐ怒るしわがままばっかいうけどあたしが怒ったら10秒で仲直りできてほんとに優男です、😪 たくさんのあり…
ぺっぺとあやりんの会話鬼楽しい٩(ˊᗜˋ*)و٩(ˊᗜˋ*)و٩(ˊᗜˋ*)و٩(ˊᗜˋ*)و٩(ˊᗜˋ*)و٩(ˊᗜˋ*)و٩(ˊᗜˋ*)و
@ayari0105  めちゃめちゃ話し合って楽しかった😂😂😂😂
@wksoccer12  だって！！！話し合ってめっちゃ楽しかったんだよ！！💥 スッキリしたー！！ ぺっぺ借りて待たせてごめんね🤘🏻
@wksoccer12  こーた遅いからこれから毎日借りようかな😊😊😊😊😊😊😊
@wksoccer12  むりー！！😑うん！めっちゃ楽しかった！！！😆😆😆
@yrn__320  ほんきで楽しかった😘😘😘😘😘😘😘😘😘😘😘😘😘😘
@wksoccer12  はい気をつけたす😆😆😆😆🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻
@ayari0105  うんはなそはなそ！！！😆😆😆
@yrn__320  はなすう〜😝🌷
@tmk07h  みさきちゃん🌼💕 お誕生日おめでとう❣️😆😆😆 いい1年にしてね😳❤️
RT @kirisima_np: ガラガラGO！受賞後のパフォ。 ジヨンさんの髪型に衝撃を受けた人多数。これでペン落ちした人も多数。 見所は後ろ振り向いたてそんくんが演奏してる方達にもお辞儀してるところ😊 https://t.co/21OLbSgRIv
RT @YGEXStaff: 【第58回輝く！日本レコード大賞】 #BIGBANG 「特別賞」、#iKON が「新人賞」を受賞しました！ この受賞はいつも支えて下さるファンの皆様のお陰です！ これからもBIGBANG、iKONへの応援よろしくお願い致します。 https://t…
#スタバ #nightview #キャンドル #冬 #date https://t.co/BLgKg8z2O9
RT @sgs109com: 【明日より】飲めるダース再び😋寒い時期に楽しみたい濃厚チョコレートドリンクが今年も登場🍫🍫🍫❄️❤️https://t.co/IbPpQHyPdP  #DARS https://t.co/9iUXtVPihB
RT @mi777g: ヨンベさん インスタ訳 @Realtaeyang   （全文1枚目にて）  🌳🙏🏼😭😭😭😭😭💕💕💕💕 https://t.co/x17ufsZ8R6
RT @wakarana_i: 相手が全く思いもしない、気づかないようなタイミングで、あっ！すき...ってなるときあるよね https://t.co/Oy6qKff10T
🍔☕＿＿＿＿ #コメダ珈琲 #部活帰り #ハンバーガー #野菜 https://t.co/fOaMf7ccPl
@UVER_2308_HAND  まさきさん！ お誕生日おめでとうございます🌼😆🎂
おでんにロールキャベツが
おでんにチーズinハンバーグが
RT @BB_SNSD_: おでんにチーズinハンバーグが
RT @BB_SNSD_: おでんにロールキャベツが
2NE1解散😱😱😱 ありえない、、😢😢😢 ショックすぎる😶 https://t.co/B2w1S0PKjV
#new #ヘアアイロン #instagood #instalike https://t.co/cDA5zjZjyk
#gshock #ペアウォッチ #⌚ #時計#かわいい #かっこいい #部活 #instalike #instagood #❤️❤️❤️ https://t.co/QCR8YgBP3r
#mac #mac💄#sharan #instagood #instalike #💄 https://t.co/dMcmNligxP
#噂の #人気の #fluff #マシュマロ #クリーム #america #🇺🇸 #instalike #instagood https://t.co/C9eUam4VIb
土日皆と同じトレーニングしてたらほんとに痩せた😃😃😃 筋肉痛死んでるけど しあわせ👼👼👼👼👼👼
@sei__pipi__1127  せいなさん🐶❤️ お誕生日おめでとうございます🐣🎂🌷💗💗 会うと写真撮ってくれたり話してくれたりありがとうございます😳🌥🌥 でんのうは美女ばっかりでいつも惚れます🙈🙈 いい1年過ごしてください🐾🌷
@sei__pipi__1127  いえいえ🙈❤️❤️ はい！お願いします🌼🌼🌼
RT @wksoccer12: 少し遅めの誕生日プレゼントもらいました！🎉  ほんとびっくりしたけどめっちゃ嬉しかった！😊 みんなありがとう🙏  波乗りジョニー🏄🏼も美味しくいただきます！😂笑 https://t.co/Hz9VbQFgLl
RT @Kstyle_news: “解散発表”2NE1のDARA、ファンに心境告白「守れなくて申し訳ない」(全文)」 https://t.co/rUm0P2BV1v
#new #shoes #nike #simple #black #white #instagood #instalike #👟 #❤️ https://t.co/9dCi38hMim
今日で☝️✋👌日〜🌷🐾☄️💗
RT @Kstyle_news: “解散発表”2NE1のCL、ファンに手紙で心境告白「最善を尽くした」 https://t.co/AijWePxwzj
@ayari0105  あやりんおめめめ😆🐾💗💗
RT @Kstyle_news: BIGBANG、メンバー全員で「ラジオスター」に出演確定 https://t.co/usBtvJn2pA
@BB_SNSD_ @6xPZGo1ZPICg3ru
RT @Kstyle_news: BIGBANGからEXO、少女時代まで…インスタグラムが選ぶ「今年のSNSスター」は誰？ https://t.co/zrKB5vpfLE
@hshun14  しゅんやお誕生日おめでとう〜😆🌼🎂🎈🎉
@kato_riko  かとりこちゃん😆💞 お誕生日おめでとう🎂🎈🎉 ほんとに可愛くて癒される、、😳 いい1年にしてね！
RT @apr_peach9: シャーシャーシャー！！ #TWICE https://t.co/ojgbQ40q9C
5monthsanniversary🐾☄️💗 最近は体調不良が多くてあんまり会えないけど御見舞きてくれるしょーくんが好きいいい！！❤️ わがままゆって来てくれるショーくんも好きいいい！！❤️ ってな感じの今月も優男なしょーくんでし… https://t.co/YqcSkR8zCl
@riko_funfun43  りこおお😍😍 ありがとう(((o(*ﾟ▽ﾟ*)o))) 勉強頑張ってるかい〜🤔🤔
@kkkannni17__  萌ちゃんありがとう😆❤️❤️
@aju0209 あじゅちゃん！ありがと😍
@BB_SNSD_  リプ熱下がったら返します〜😞😭😣🙇‍♀️
@__Qt_m  アカリンありがと🙈💗
@m_o_e_423  もえちゃんんん😳 ありがとう💞
@_____nhhhu  にゅーちゃんありがと〜😋💗
@m_u0903  みはや先輩ありがとうございます😍☄️
@me___0105  ないないないない！！😭😭 でも嬉しいありがとう🙄🌼❤️
@ka_namii  あれお気に入りよ😳❤️❤️
@S_12609  すずはちゃ〜ん😳🌼 ありがとう😆💞
@2jPacnd5aUQHnA4  そんなことないよ〜🙈😞 ありがとう😭😍❤️
@haachamin0727  はずきさん😳😳❤️ ありがとうございます😆❤️
@mm__0521  みちかちゃんありがとう🐶😍
@t_o_i_t_o_i_ ありがとう！😆
@ainosuke213  あいかちゃんありがとう🙄💞💞
@Konb___0119  ありがとうありがとう🙈😭💞 ほんとねー！！😳また会ったら話そうね👱‍♀️👱‍♀️🗣
@____pkhty9  はい😍ひろよさんありがとう😳❤️
@n5lgt_8a  ありがとうございます🙈🙇‍♀️💗
@ayari0105  あやりん達も🙈❤️❤️ 静岡デートの事話聞かせてくださいよ〜😋💞
@tkd__59  おつかれんありがとうでござる🐵🐵🐵🐵😉❤
@_M_3939  みくちゃんありがとう〜💗😊
@___mm0904  まりなちゃんありがとう😍 お幸せに😳💗
ずっと高熱なのに元気だと人間って熱冷ます事を諦めるんだね︎︎ヾ(ﾟДﾟ*)ﾉ諦めた〜(((o(*ﾟ▽ﾟ*)o)))
@sa_cha_xxx  だろ！！！意外と早いよな！！ ありがとう！！！！❤️❤️❤️
@n_aaa_tk  なつきちゃんありがとう😳💗
@aiaika120901  あいかちゃんありがとう😍😋
@amaomi8312  あまねんねんねん！ありがと！❤️❤️❤️❤️❤️
@BucciWowwoo  あんなありがと😍🌹
@___hi_ragi___  らぎらぎらぎらぎありがと🙈💞
@sfvW1I7dgJbgdRb  みゆちゃんありがとう😍😍
@yrn__320  ぺぺぺ！！😂😂 ありがとう😆❤️❤️❤️
@UdYyk  照れるわ〜😍 ありがとう😊💞💞
は〜やられた！！！😂😂 記念日だけど会えなくて「これから1週間会えないね」とか話してて電話だけ後でしよってなってて電話してたら窓見てみって言われてみたらいた！！ 帰りに家来てくれた！！！😭❤️ 会えると思ってたからほんとに嬉しい〜… https://t.co/in7W0Mqtxw
@Hi7Ka0Ru4 ひかるちゃんありがとう🙄❤️
@shappygirl321  たっさんあざす！👨‍👦👨‍👦👨‍👦 そろそろ天一恋しいわあ
@_____rr02  りかてぃんありがと😘😘😘
@syakura_3_9  さくらありがと〜😍😍
@___ohayo______  りこありがと😘 （りこのためにmonthsって書いたのは内緒🙊）
@t_m___xxx  ありがとう❤️❤️ 全く嫌になるわ🤒🤒🤒🤒
@june_1706  ありがとう〜🙈❤️ じゅねちゃんちだって〜🙈🙈 ディズニーとか羨ましい、、😣🌹🌹
@simako999 その時だけ白馬の王子様に見えたよ、、(((o(*ﾟ▽ﾟ*)o)))
@ka_namii  それな！！！ 女子が1度は憧れるあのシーンを体験できたべ！！！！！！！😱😱😱😱😱😱😱
@riko_funfun43  わ〜やだやだ、受験生、、、。
@___mm0904  😆❤️❤️❤️
@____pkhty9  ざすざす💞😘😘
@sa_cha_xxx  おばさんみたい😂😂😂 ありがと〜😳
@ainosuke213  そんな褒めてもらっちゃって、、、 ありがとうありがとう😭🙇‍♀️😍😍
@yrn__320  ちょ、はやく語ろ！！！
@n_aaa_tk ありがとう😆❤️
@ayari0105   うんうん😘😘😘
@Konb___0119  そーそー！それー！笑 ゆっくり話そ😆
@june_1706  それはよかった〜🙄💗💗💗笑 立川の世話もよろしくね😆笑
@shappygirl321  うん好きだべ🙄 だっていくと立川さらってゆうおまけが上から降りてくるからさ😉
RT @__KoreaLOVE__: 去年のMAMAは全トゥエニペンが泣いた https://t.co/f7dn6WJv0h
@uuu_125  海ちゃんおめでと〜🎂💗
RT @haroobomkum: https://t.co/qDioemtd4j
@uuu_125  いえいえ！🌹
@_rinata10___2  りなちゃんありがとう😆💗 かないくんとびっくり、、😳😳😳 りなちゃんちもお幸せにね💞
やっぱりタプは付き合っているのか、、、、。なんかタプさんが付き合ったら悲しいけどなんかお兄ちゃん彼女できたのてきなね、、、まあとりあえずほんとだったらショックだけどTT
いや、明日数Aかと思ってたよずっと、、、 いや無理数1だったの、赤点じゃん
RT @Gdragon_VIPJ: BIGBANG「2016 SBS歌謡大祭典」に出演決定！早くもステージに期待高まる - 韓国芸能ニュースはKstyle  https://t.co/Jxca1pTZGa @Kstyle_newsさんから
RT @Kstyle_news: BIGBANGがLINEスタンプに登場！バリエーション豊富な全40種類 https://t.co/RZkBLQqDxk https://t.co/jjw6e30zoH
やっとかえた！た！た！た！ 送りまくってごめんねみんな😣😣😣😆😆😆💗💗💗💗💗💗 クラックラックラックラ🖖🖖🖖 https://t.co/3LxlvpuWCd
@___mm0904  まりおつちゃん おめでとう😋😋❤️
@aihrmr110629  まりさん🌹 お誕生日おめでとうございます🎂🎈🎉😆💗💗
@m_o_e_423  もえちゃん🙈☄️ おめでとうおめでとう😳🖖🌹💗
やったあ！！やっとかえた！！！ 🖖🖖🖖🖖🖖卍🍉🌴🍉🌴🍉 https://t.co/ZJk8xwI7Iv
@nagumo449  そ、そうだよね、わたしも101円くらいの価値はあると思ったよ
RT @Kstyle_news: BIGBANG、12日にアプリ「V」で生放送を進行…新曲のMVを初公開 https://t.co/OdMsM9LxSM
きょーちゃんと撮ったとか言って送ってきたから載せちゃう😊😊😊😊😊😊😊😊😊😊😊😊😊 かわいいやつだ😃😃😃😃 https://t.co/4NxcyupHZU
RT @Gaia829Gaia: 今日めっちゃ楽しかった😆 一年だけでやるのは初めてだったし まじで面白かったー笑 点もたくさん決めれたし嬉しかったー😬 またやりたいなー🤔
@nsiCZF4Nn5Xoqcu  りんかちゃんおめでとう😍🎂
@nsiCZF4Nn5Xoqcu  いえいえ🐰💗 喜んでもらえてよかったです！😆
@aihrmr110629  いえいえ😳💞
@___mm0904  いーえっ🐰🙈💗
@m_o_e_423  いえいえ！😊💞💞
@yrn__320 それなそれな〜😂😂😂
@___ohayo______  そーだよ😊😊 s大事！練習大事！！🐰🐰🐰
@_rinata10___2  いえいえ😍❤️
@syakura_3_9  羨ましいなんて照れるわ💤💤💤💤
@shappygirl321  おまけ😂😂😂
@amusutaa23 まいまい！！ ありがとう😳❤️羨ましいなんてこちらのセリフです。廊下で飛びついているの見てしまいました😉😉😉😉😉ほんと幸せそう、、💗💗 （ごめんね😿😿返信できてなかったみたい、、、）
@arisa_3cat  ありこさん😍🐰 お誕生日おめでとうございます🎂🎈🎉💗💗
@kkkannni17__  もえちゃん お誕生日おめでとう🐰💗🎂🎈 いつも幸せそうで羨ましい😳😳 それに高校入っても仲良くしてくれてありがとう😆💞💞 これからもよろしくね🙇‍♀️ いい1年にしてください🌹🌹🌹 とうまさんともお幸せに🙈🙈
