葉山now波音聴きながらビールは最高 http://t.co/jqAmvAt
久しぶりの江戸銀、最高です。幸せ💝 http://t.co/IFbHZfgB
今日はお台場でレース。ゼッケンはラッキーNO🎉 http://t.co/YU3wc7Xw
盛り上げ役はこちらのDJ http://t.co/SdTLq05i
冷蔵庫にあったゴルゴンゾーラピカンテが食べたくて、クラッカーを焼いてみた。形はまだまだですが、味はgood✌
クリーミーホワイトの泡は細かな泡でソフト感があります＞クリーミーホワイト毎週プレゼント中 http://bit.ly/fWJXA2 @CREAMYWHITE_SB #creamywhite
滋賀から義妹と姪と両親が遊びに来て、お土産に頂いた義妹の手作りクッキーは元パティシエだけあり、最高に美味しい(^_^) http://t.co/XS4ml3XLSQ
阪神戦に熱いパートナーがうるさい！お願い勝ってー
ヒーローインタビューを正座で聞いてる⁈ ヒーローを前にあぐらはかけないと。
念願の思い出横丁デビューしました。次はハシゴしたいな。 2次会は神楽坂で乾杯 http://t.co/KGT5FQKlrX
@yohey_62 はい！家飲みもいいけど外は刺激があるね。楽しい💝😁🎉
@yohey_62
満月に乾杯🍸美しい
一人ディナー。ワインにトンテキにジャズピアノ。酔ってしまいそう。
〆はボンゴレ。グリーンは大根の葉で。 http://t.co/FsypAn1OmV
@akikosingsJazz 食べてる間に旦那帰宅。半分あげたよ。
@ttama 家もだよ(^_^)
滋賀から京都、大阪をすぎ、神戸に入りました。
@yohey_62 会場前に立飲みや発見。9時オープン😲
@yohey_62 餃子いっぱい食べ、ビール大瓶、中丼、レバニラで一人1000円なり
神戸新開地を探索 http://t.co/KpyygVQo3T
酎ハイ350円にご満悦な二人 http://t.co/otWtaTwdrd
心地よいボサノバが流れる店内でカフェランチ http://t.co/9fpQ2SjuTX
@ttama ランチのセットに1杯だけね^_^
雨の中、陽がツールド沖縄1日目クリテリウムで9位(^_^;)
今日は七輪で鍋だよ。火はまろやかだけど(^^)ダンナのこだわりにつきあわされてます http://twitpic.com/3wcxeb
可哀想なケトル。お湯は焼酎用・・・これが美味しいんだよね http://twitpic.com/3wd2g9
しまちょう、まるちょうでモツ鍋。 http://t.co/2P9awV7nvD
何度か行ってる京都のうどん屋【山元麺蔵】がテレ東のニュース、行列の店で取り上げられてた。美味しいんだよね
美味しいインド料理を食べながら南アフリカワイン http://t.co/oJByoBRcwN
アルフィーのオーナーが赤いワインを頼んだら出してくれた。美味しい^_^ butお値段は？ http://t.co/u3dAk9QWBS
とっても素敵な歌とピアノを聴きました。島津さん最高！ヴォーカルも痺れました http://t.co/lqRbBJ35S0
@taraviolin 頑張って下さい👊
おはようございます(^^)霧で真っ白
日本先制‼本田NICE
香川のゴール🎉🎉🎉
池畑さんが残念😰叫んでます。
@RJTKBIKES 何いってるんですか！「ハワイですから！」と言っておきました。
雨もやんで、ハワイへgo http://t.co/QLsGOebqk2
いつもながらの制服？で 離れて座る私。 http://t.co/9bgK2WkLn6
今日から池畑が内房合宿で草津へ自走。4時過ぎに出発し、東京に入りました。ガーミンのおかげで走ってる場所がわかり安心😁
@ichigoaniki お目出度う(^^)
エレーナ.イシンバエワに乾杯。記録は更新できなかったけど金メダルはすばらしい
バレンタインにカボチャプリン。池畑さんがダウン中なんで栄養あるスイーツに変更。シナモンとナツメグプラスで大人の味かな？ http://twitpic.com/3zokge
モーニングのはずが、ブランチ。スープに癒されます http://t.co/0hf0b2Jg6I
@yohey_62 明日ローラーしようかなといってますが、、、(チクリ？)
大好物です。貴重な鯨を叔母が送ってくださり、感激 http://t.co/cwsLNIGkIs
@yohey_62 食前酒がビールで、すでに白ワイン。私焼酎が苦手なんです。泡盛は⭕
昨日のディナーで隣の席で会話したアメリカ人キャロラインと2ショット。会話は超カタコトの英語で http://t.co/H26MiBGree
昨日のトスカーナワイン、グラスを回すことで、味が変わり美味しくなっていく。 http://t.co/cFPVLljmL5
フィレンツェ市内を見下ろす内房ジャージ http://t.co/ofwPBnGV9R
世界戦ＴＴの打ち上げは部屋に戻り、表彰式をテレビで観戦しながらイタリアビールで乾杯 http://t.co/AFp1k9cKF4
@jjscucina 内房ジャージでもジャポネーゼパンターニと写真撮られてたよ。^o^
@taraviolin カンチェラーラの表彰式をTVで見てかっこいいーと💝💝💝ヘルメットとサングラスで素顔がわかりませんでした。一気にファンです。
@yohey_62 今日はコースを2周も走らされ、超疲れました。なので👯🎉
@taraviolin はい、サイン欲しいーとミーハーな私です。
初めて見たピンクのリムジン！ピンクのクラウンよりビックリ http://t.co/Mo5cY6bfti
インテンシブープロのサンプルが届き初使用する(^^)なんか一皮剥けたみたいで今朝は嬉しい。
昨日からは世界選のコースを何処でみるか下見した。女子ジュニアは16%の激坂で見れ、ここならBESTと陣取るはずが男子u23はチケットなしは❌😂😂😂 反対側の9%の坂へ行くため、私まで激坂を体験。もちろん自転車は歩きながら押しました。
フィレンツェ最終日は雨、世界選のエリートは誰が勝つのかな？今からカンツェの応援に行ってきます
パッキング終了。今から帰ります。さよならフィレンツェ
@celestegatta 沖縄に向けてニューバイクですか？
@taraviolin
今宵のメニュー ライ麦パン、手づくりベーコン、スモークチーズ、かぼちゃのポタージュ頑張りました。
フランスパンを焼いてみた(^^)パン屋さんに行かなくていいかも！ http://twitpic.com/41dk8z
@yohey_62 うちは赤身と白ワインです。 鯛、カンパチもGET
ラジオから流れるオフコースの[言葉にできない]聴く度に涙でるなあ。
ケツメイシDVDの名曲劇場を見て泣いてるパートナーに「なぜ泣かない？」と言われても、想いの違いかなー。5回も見たら飽きるのに、毎回泣くとはビックリ‼
@yohey_62 執着力かも！(www)
@akikosingsJazz 台湾に広がったらすごいね！わくわく（*^_^*）
自転車の合宿で沖縄へ。暑い‼夏を一足先に感じて。那覇空港から奥武島までサイクリング http://twitpic.com/43fpip
念願の黒糖ぜんざい(^^)おいしい、もずくの天ぷら50円、そば200円と安いのも魅力 http://twitpic.com/43hddp http://twitpic.com/43hddr
今年のクリスマスは初めて常連肉屋さんのローストチキンをGET！あまりの美味しさにキャンティがすすむ、すすむ、友達から頂いたクレソンも最高で幸せな食卓になりました。感謝💝
@yohey_62 見えたかな？ビンゴでケーキにたどり着かず撃沈
なんだかFBにうまく投稿できず、イライラしたが、ろうそくの炎に癒されてる http://t.co/QPhgY5EJ59
クリスマスの約束始まりましたー
あけましておめでとうございます。午年は走らないと🏇🏇🏇ではなく、走ったら🏁に早く着く年
新年早々、雑煮を食べてたら、歯の詰め物がとれた😱初スケジュールは歯医者に決まり❗️
モリヤンのバースデー。１４年目のケーキ入刀(^^)ケーキはきみちゃんの手作り‼凄い http://twitpic.com/44zpxu
まことコレクション1   http://twitpic.com/44zyda
湘南シクロレース、カテ3クラススタート2周目、磯辺君3位、細矢君4位
@celestegatta 私は応援です
今日はお弁当に大好物のメカブを刻んで持参^_^細かく刻んでお湯をかけた瞬間の色と香りが大好き💝ご飯とメカブでたべる弁当は美味しかった😁、、、
@yohey_62 @ttama おめでとうございます！！私が生まれた時より大きいよ!(^^)!
羽入くん、金おめでとう❗️ 乾杯🍻👯💝 http://t.co/1QfPwbCY4w
@celestegatta 私もどきどきしながら登録しました。パスコードより早いと実感です
木更津のアサリを使ったボンゴレを食べなから白ワイン。旦那の趣味で流れてるソニーロリンズのテナーサックスが心地よい
昨晩食べたパスタのトマトソースの残りで玄米リゾットをオーダーしました。玄米の風味が最高に美味しい http://t.co/8Cia7eVgm4
@yohey_62 今話してました。鯵パーティしますか？
地震の影響でエレベーターがストップ！初の階段登り11階まではしんどい。
綺麗な雲 http://t.co/3lQWdVOkAh
節電のためにろうそくと七輪で夕食。炎をみながら宮城の親戚の無事を祈ります。 http://t.co/9U87M5z
今日は幕張で女子会。お店のマスターのご好意でワイン1本頂きました。 http://t.co/N2vRmfApgh
@Akari_137 私も最近50個届いたばかりなので必要ならあげます。
大、大、大好きな水羊羹を頂いた。緑茶と一緒に至福の時間^ ^
残念⤵️⤵️⤵️
セレブが食事中 http://t.co/uYOmkRkVFW
宮城県の牡鹿半島　鮎川の親戚が無事でした。グーグルの避難者名簿にも名前を発見できました。よかった（*^_^*）
バナナケーキできた(^^) http://t.co/dzZYwkZ
スーパームーンを見て、幻想的に見えるのは私だけ？ http://t.co/c7dxbp0hX7
@ryokosfjt_238 おいしそう！！
ドイツパン作りたいのに、強力粉が売り切れです。みんな手作りパンなんだね。
パンはあきらめ、グリッシーニにハムディップにしました。FPあればすぐ出来るね。赤ワインにピッタリ(^^) http://t.co/IgYkuiE
シフォンケーキにチャレンジ。審査員から78点.カスタードクリームは84点。次回はもっと上を狙います
琵琶湖でフェリーに揺られながらの夕陽 http://t.co/XRovKiSNNN
大島が近くに見える。宮田へGO‼️ http://t.co/ftLebqZZHC
朝日がとっても綺麗。 http://t.co/YTNhd7Qyiy
森のアイス アテモヤ美食now http://twitpic.com/380dod
今日のディナーにドイツパンやきました。カブのスープにパスタ絶品。パンはレーズン入り＼(^o^)／ http://t.co/r83Ign9
@ryokosfjt_238 凄い人だね。SMAPは見れた？
@ryokosfjt_238 超超超羨ましい！！
@yohey_62 洋平の一言で鶏ハートを買って良かった。うちはセロリと炒めたら絶賛でした。是非やってみて
@yohey_62 それは、是非ご賞味したいです。😍😍😍
山頂で、食べるバッカス最高 http://t.co/7CmLf6MZSE
お酒に合うアップルタルトを作ってみました。サンタテレサのラム酒にピッタリ
写真はこちら http://t.co/uavhfgp
@hime_mamachi 買ったら教えてください。家電で一番の長寿になってます。
@hime_mamachi ないと困るから、タイムリーな商品になりますね。家の洗濯機はまだ頑張ってもらいます、(^^)
あけましておめでとうございます。今年初のドリンクはこれです。ハマってます http://t.co/AoFtKrpycr
今年は柴又七福神巡りをしました。御利益あるといいな。 http://t.co/zEglB6xqNX
@akikosingsJazz BLT美味しそう。ドイツパンできたね
宮城県牡鹿郡にいる親戚に父が物資を届けにいきました。化粧品や日用品を託したら喜ばれました。食べ物の次は日用品や洋服などが必要みたいです。
いきなり届いたパスタマシーン。ホワイトデーのお返しに作ってくれるかなあ？ワクワク箱を開けたわたしはビックリし過ぎてア然 http://t.co/VdB8rQ5
大稲158-3 パン屋さん到着 http://t.co/etNj3espop
@ttama 私は2回目でしたが、行列ができてました。火、木、土しかオープンしてないからかな？
@rika_hi 凄い！美味しそう。手作りベーコン教えて下さい(^^)
初！自宅で生パスタ。もちもち感が◎ http://t.co/5IDwhrV
@Akari_137 今回は強力粉でやりました。次回はセモリナ粉で挑戦します。
@Sotaro_Xlll あー飲みたいな！近所なら行くのに(^^)
NHKでシンディーローパーがやってる。人間は本当の色をだすべきだ。true colors いい歌だなあ
@Akari_137 凄い！！パン屋さんに行かなくていいね。
今夜は、生パスタ、ドイツパン、ドレッシングと手作りバージョン http://t.co/KGXiABz
今日新しいワイングラスを買った。赤ワインの香りが違う‼グラスって大事だなあ
@akikosingsJazz いつでも歓迎よ(^^)
@ryokosfjt_238 食べたいな！！
@beachtw 雲に隠れてた月が表れ、とっても綺麗だった。
@nozomi419 おめでとう‼忘れないバースデーだね
UEFAチャンピオンリーグ決勝戦。バルサの得点力は凄い。終了間際のネイマールのゴールに感動(^^)
大好きなお酒を制覇しちゃいました(^^) http://t.co/8XC4jAMRMa
今日のデザートは堂島ロール、カスタードあんバナナにしました。1時間以内に作れるのが魅力だね！ http://t.co/4Kw44Kh
昔から魚を綺麗に食べれずコンプレックス。今日イシモチを食べた後を旦那と比べたらごめんなさいと思うくらいに食べ直しです。大事なお魚の命に感謝しながら、頑張ります(^^)
イカワタとトマトのパスタソースが美味しくて、バケットが止まらない(^^)
@Akari_137 凄い！！おめでとう(^^)未来のためにサイン下さい
大根ステーキと鳥ハムで夕食。 http://t.co/JcO0jYK
@komihagahumiga ただの練習不足だと思います
@puyan77 旦那が朝練後にいつも(今日の練習は人が多くて大変やー)と言うのが、また一人だったんだと認識出来てましたが今朝はイメージ通りでびっくりでした
@manbow1173 素晴らしい景色を内側から見れていいな〜
東京タワーを眺めながらティータイム。景色を見てるだけでも幸せ度が倍増します http://t.co/IFnBeRovG8
@kimi483 遅くなりましたがhappy birthday!きみちゃんがもっともっと笑多き1年になりますように。
滋賀帰省のため自転車2台と鍋積んでむかってます。東名早くも渋滞10ｋｍの表示(￣^￣)ゞ
@moriyan1226 もちろん持ってます(^^) 車中でヨガしてるよ。
@akikosingsJazz 相変わらずGを感じる！
やっと鈴鹿。あと1時間かな？渋滞のおかげで高速料金が1000円だったらＬUCKY!
鈴虫寺なんと2時間待ち。とりあえずとろろ蕎麦で腹ごしらえ！ http://t.co/rTkgbU9
鈴虫寺、覚悟を決めて並ぶ
マイナスイオンたっぷりの華厳寺橋から http://t.co/EJrTKio
鈴虫の音色に包まれてお願い事したよ。竹林の中にて http://t.co/aA2ddeI
まさか四条河原町を自転車で走るとは!
車に乗り比叡山越えで実家に向かう。琵琶湖が霞んでるのは黄砂の影響みたい
初めまして。はとこのルアくん http://t.co/93JG9tD
琵琶湖マイアミビーチにて。琵琶湖1周は無理なんで半周サイクリング http://t.co/fVlIXw3
ベイFMにウィルチュアラグビーの官野選手が出てる
@moriyan1226 モリヤンの引き寄せパワーを感じたよ。一緒にいたら私にもと‼成功者と変わらないからあとは結果がついてくるよね。楽しみ(^^)ステキな出会いに…
@ryokosfjt_238 新鮮だからたまごかけごはんが一番おいしいよね。
@kimi483 凄く食べたい(^^)今度参加させてね。
3年ぶりに体力測定してみた。なんと‼前より点数高く、20代前半でした。あとは外見を磨けばいいだけ？
@kimi483 はい！楽しみの一つにします。ありがとう
@Akari_137 ありがとう(^O^)／あーちゃんみたいな肌になりたいよ！体力はあがったけどシミも増えてる(^^;;
@charlie310131 そうだった。外見よりも先に時間、お財布、仲間と自由をGETします。
今日はついてる🎉🎉🎉予約出来なかった骨付きチキンが買えたし、バルバレスコを開けたら、最高に美味しい✨✨😉 そして大好きな方からクリスマスプレゼントも頂き幸せX'mas
ちなみに旦那からのプレゼントはこれからです。
母に来年のTBG全国大会通知が届いた。シード枠の出場で、びっくり
@ryokosfjt_238 私も少し見てたけど・・もしかして小笠原とか打ち取ってた？すごいですね
@charlie310131 坦々麺好きとしては今度食べてみたいなあ
池畑さんの両親が泊まりに来て食事会。魚鈴のおまかせ刺身は最高‼
@charlie310131 もち、ドイツパンとポテトサラダ、鳥ハム、豆乳プリンなど作りました。
将来の夢の一つに専属ドライバーが欲しいと思ってたけど、車の自動運転が先かもーと気づいた日。
@yohey_62 家は、ミルガイのアヒージョとホモスでいただきました。美味しかった
今日はシフォンケーキとホモスが初成功❗️今まで封印していたレシピ本が活躍しそうです。 https://t.co/JBtJ3B6CtU
一人飲みスタートして、友達が来てくれた^o^先に帰りまた一人😉 https://t.co/7zi2KxiQrk
北海道 宗谷の毛ガニを堪能しながら、南極物語の高倉健を思い出す
今年の初ボジョレー(^_^;) http://twitpic.com/39gb4m
沖縄から帰ってきました。今回、改めて思ったのは、持つべきものは友だと🎉新しい出会いが、次回の沖縄をワクワクさせてくれます💞💞
久しぶりに池畑さんの愛車で妹さんの家に向かってます。今日はドイツパンと鶏ハム作ります。 http://t.co/VfuOq22
赤のポルシェに一気に抜かれた(^^) http://t.co/uCIBAsG
RT @nikka_jp: ＼急募！1万名／ 「ブラックニッカ クリアハイボール」モニター大募集じゃ！ @nikka_jp をフォローしてこのツイートをRT！ #ブラックニッカクリアハイボール  https://t.co/uuFxVgyYB3 https://t.co/f96A…
4月から土曜20時にk-GrantのFM放送が始まったみたい。う〜低音に癒される〜➡️痺れる^o^
今日はセミナーへ #studioabo https://t.co/97r63VTUg9
昼間は暑いけど、この時間は気持ちいい風を感じながらテラスカフェ。騒音？近所の車屋さんが仕事かは？としてまだエンジン音をさせている。お疲れサマ😉
健康診断に行った。身長が伸びててビックリ😵😵😵
まだまだ成長期か？(^^)
この公園、氣志團万博の時は満員ですが普段は貸し切り？ https://t.co/sIme4bmZM9
金田の観覧車に灯りが点いてる
ゲリラ豪雨の後、テラスでまったり夜景を眺めてます。対岸の灯りがよく見えるなあ👀
先週は北へ、今週は西へGO‼️
千葉に向かってGO‼️渋滞なしで帰るぞ😁
浜名湖通過
@hime_mamachi 渋滞にはまりたくないからと、往復all運転してくれてます。
@hime_mamachi はい、7時に出発して13時前に着く勢い👺さすが無事故無違反😵😵
金田のベイシア着😅
君津から長浦に帰宅。127号線から16号線、玉突き事故4件😱😱 渋滞気味です。
久々にケイ,グラントさんの低音レディオが聞けて嬉しい💝💝
萩野選手 金メダルおめでとう🎉🎉瀬戸選手 銅メダルおめでとう🎉
食後のミニトマトマリネがさっぱり美味しい(*^^*)
錦織がナダルに勝って銅メダル❗️を信じて今夜も応援します
ドイツ村now!目をつぶれば小田さんの『言葉にできない』
錦織選手、銅メダルおめでとう🎉🎉🎉
@yohey_62 はい、大好きです。次は生の声を聞きたい💞
今夜は、旦那のAlfaRomeo(鉄屑くん)の話題がラジオで読まれました。#低音レディオ
イカワタパスタ、ワタがたっぷりだとウニに勝るのでは？と思う美味しさです。
台風が去り、無事に飛びそうです https://t.co/ykSO7NEl7b
初めてのオホーツク海！波が5m‼︎
3日目も雨😱😱😱自転車乗れず残念賞😂
氣志團万博に参戦❗️パワーあるアーティストのライブで充電されました。
氣志團万博2日目、永ちゃんのライブ30分前‼️盛り上がってます。
タッキーが働いてるメキシカンレストランでランチ。ジャンバラヤが美味しかった😍😘
ダイバーシティヒルクライム。内房からはまさかの２人エントリー
7台のカメラとドローンで走りが観れる
@Akari_137 10代はすごいです！！
沖縄到着❣️暑い
イラブチャー美味しい！&amp;オリオンビール
名護から瀬長島へ
暑い 33℃ https://t.co/bybnUNh82v
今日のデザートはかぼちゃケーキにバニラと手作りマーマレード添え(^^)9時までに食べてしまわないとカロリーオーバー http://t.co/2vUW0qC
@ryokosfjt_238 蛍見たいです‼
日本て凄い❣️12日沖縄出発前に、腕時計を紛失😱電池交換したばかりで凹んでました。ダメ元で羽田空港第一ターミナルに電話してから、落としものセンターに連絡すると、届け物に腕時計あり。空港警察に転送されていたので連絡すると着払いで送ってくれる事になりました。😁届けてくれた方ありがとう
仮想通貨の話をラジオで、聴いてて、私はこれ以上の進化に対応できないグループに入るな。スマホもギリギリだし😓
巧くんサインナップ(^^)これから色々楽しもうね。 http://t.co/kaCmLDv
ホワイトデーは一人ディナー ホンビノス貝のパスタに、鴨のスモーク、セロリの中華和え  白ワインがすすんでしまう😅
@ttama 家は定期便で5kgでした。😁
@ttama 我が家も配達を送らせたりしてますよ。
想いが叶う❣️1日でした。引き寄せかな^ ^閃き大事です
流石です。こんな時間に飲んでるのは、私だけと思いきや、店内ほとんどのお客さんがビールを飲んでる。大阪楽しい❣️❣️
関西はエスカレーターで、歩かない方は右側を選ぶ。いつもの癖で、左側で止まってたら、渋滞を作ってしまった🙇
久しぶりの結婚式❣️甥っ子は21歳。友達も若ー https://t.co/FeXgdfe7Di
また事故😂😂
怪我が軽くてホッとした朝😍
初、塩パン作ってみました。クセになる美味しさ、ヤバイ！
トレックの自転車に乗ったら変速が重くて！  ショップのシェスタを邪魔して見てもらいワイヤー交換。帰りは軽くなって快適でした。
たかが202段、されど、足が動かずダメダメでした
@charlie310131 おめでとうございます。お母さん楽しそう(^^)
@ryokosfjt_238昼からBEER最高だね
梅雨明けで夏本番！お昼は沖縄そば(^^)  http://t.co/n6Zalex
なでしこJAPANすばらしい(^^)
今日はイベリコ豚をソテーにして、美味！祝なでしこJAPAN
良子さんのミーティングに参加。毎回気づきが多く充実感。 http://t.co/fjV5jfU
@rika369 写真撮る時にいなくて残念でした。また次回に
